Year,시도,Value
2013,0.전국,1.451695925
2014,0.전국,1.420881568
2015,0.전국,1.360830701
2016,0.전국,1.393116873
2017,0.전국,1.640698268
2018,0.전국,1.694574288
2019,0.전국,1.642527542
2020,0.전국,1.532371119
2013,1.수도권,1.572274017
2014,1.수도권,1.547874948
2015,1.수도권,1.546298801
2016,1.수도권,1.565165208
2017,1.수도권,1.853027356
2018,1.수도권,1.85688094
2019,1.수도권,1.829370411
2020,1.수도권,1.709081147
2013,2.서울특별시,1.703551168
2014,2.서울특별시,1.762965918
2015,2.서울특별시,1.739886419
2016,2.서울특별시,1.952177765
2017,2.서울특별시,2.342024966
2018,2.서울특별시,2.262481513
2019,2.서울특별시,2.261138362
2020,2.서울특별시,2.115282026
2013,3.인천광역시,1.608061299
2014,3.인천광역시,1.567774122
2015,3.인천광역시,1.547315218
2016,3.인천광역시,1.807006883
2017,3.인천광역시,2.060513213
2018,3.인천광역시,2.019886331
2019,3.인천광역시,1.936915063
2020,3.인천광역시,1.727874023
2013,4.경기도,1.443416434
2014,4.경기도,1.353891046
2015,4.경기도,1.385826041
2016,4.경기도,1.235441316
2017,4.경기도,1.43214743
2018,4.경기도,1.49843934
2019,4.경기도,1.465978147
2020,4.경기도,1.399704738
