Year,시도,Value
2008,0.전국,10.3
2009,0.전국,8.1
2010,0.전국,8.4
2011,0.전국,8.3
2012,0.전국,8.9
2013,0.전국,8.6
2014,0.전국,8.6
2015,0.전국,8.8
2016,0.전국,9.2
2017,0.전국,9.6
2018,0.전국,10.1
2019,0.전국,10.5
2020,0.전국,11.0
2021,0.전국,11.7
2008,1.수도권,11.9
2009,1.수도권,8.7
2010,1.수도권,8.9
2011,1.수도권,8.7
2012,1.수도권,8.9
2013,1.수도권,7.9
2014,1.수도권,7.7
2015,1.수도권,8.4
2016,1.수도권,8.9
2017,1.수도권,9.0
2018,1.수도권,9.3
2019,1.수도권,9.3
2020,1.수도권,8.1
2021,1.수도권,8.335803501
2008,2.서울특별시,16.4
2009,2.서울특별시,9.9
2010,2.서울특별시,8.7
2011,2.서울특별시,8.4
2012,2.서울특별시,8.5
2013,2.서울특별시,8.3
2014,2.서울특별시,8.3
2015,2.서울특별시,8.2
2016,2.서울특별시,8.0
2017,2.서울특별시,8.1
2018,2.서울특별시,8.3
2019,2.서울특별시,8.4
2020,2.서울특별시,4.4
2021,2.서울특별시,4.6
2008,3.인천광역시,9.2
2009,3.인천광역시,7.4
2010,3.인천광역시,11.6
2011,3.인천광역시,9.6
2012,3.인천광역시,10.4
2013,3.인천광역시,5.5
2014,3.인천광역시,7.6
2015,3.인천광역시,9.2
2016,3.인천광역시,11.3
2017,3.인천광역시,11.2
2018,3.인천광역시,11.7
2019,3.인천광역시,10.8
2020,3.인천광역시,12.9
2021,3.인천광역시,13.1
2008,4.경기도,8.0
2009,4.경기도,7.8
2010,4.경기도,8.3
2011,4.경기도,8.8
2012,4.경기도,8.8
2013,4.경기도,8.2
2014,4.경기도,7.2
2015,4.경기도,8.4
2016,4.경기도,9.1
2017,4.경기도,9.2
2018,4.경기도,9.6
2019,4.경기도,9.6
2020,4.경기도,10.0
2021,4.경기도,10.1
