Year,시도,시군구,Value
2001,0.전국,,1.309
2002,0.전국,,1.178
2003,0.전국,,1.191
2004,0.전국,,1.164
2005,0.전국,,1.085
2006,0.전국,,1.132
2007,0.전국,,1.259
2008,0.전국,,1.192
2009,0.전국,,1.149
2010,0.전국,,1.226
2011,0.전국,,1.244
2012,0.전국,,1.297
2013,0.전국,,1.187
2014,0.전국,,1.205
2015,0.전국,,1.239
2016,0.전국,,1.172
2017,0.전국,,1.052
2018,0.전국,,0.977
2019,0.전국,,0.918
2020,0.전국,,0.837
2001,1.수도권,,1.255
2002,1.수도권,,1.139
2003,1.수도권,,1.156
2004,1.수도권,,1.136
2005,1.수도권,,1.05
2006,1.수도권,,1.101
2007,1.수도권,,1.211
2008,1.수도권,,1.144
2009,1.수도권,,1.093
2010,1.수도권,,1.162
2011,1.수도권,,1.168
2012,1.수도권,,1.214
2013,1.수도권,,1.106
2014,1.수도권,,1.122
2015,1.수도권,,1.146
2016,1.수도권,,1.077
2017,1.수도권,,0.961
2018,1.수도권,,0.899
2019,1.수도권,,0.846
2020,1.수도권,,0.773
2001,2.서울특별시,,1.111
2002,2.서울특별시,,1.006
2003,2.서울특별시,,1.014
2004,2.서울특별시,,1.015
2005,2.서울특별시,,0.932
2006,2.서울특별시,,0.98
2007,2.서울특별시,,1.068
2008,2.서울특별시,,1.01
2009,2.서울특별시,,0.962
2010,2.서울특별시,,1.015
2011,2.서울특별시,,1.014
2012,2.서울특별시,,1.059
2013,2.서울특별시,,0.968
2014,2.서울특별시,,0.983
2015,2.서울특별시,,1.001
2016,2.서울특별시,,0.94
2017,2.서울특별시,,0.836
2018,2.서울특별시,,0.761
2019,2.서울특별시,,0.717
2020,2.서울특별시,,0.642
2001,2.서울특별시,강남구,0.926
2002,2.서울특별시,강남구,0.81
2003,2.서울특별시,강남구,0.827
2004,2.서울특별시,강남구,0.792
2005,2.서울특별시,강남구,0.73
2006,2.서울특별시,강남구,0.797
2007,2.서울특별시,강남구,0.877
2008,2.서울특별시,강남구,0.823
2009,2.서울특별시,강남구,0.785
2010,2.서울특별시,강남구,0.862
2011,2.서울특별시,강남구,0.855
2012,2.서울특별시,강남구,0.886
2013,2.서울특별시,강남구,0.842
2014,2.서울특별시,강남구,0.863
2015,2.서울특별시,강남구,0.857
2016,2.서울특별시,강남구,0.802
2017,2.서울특별시,강남구,0.706
2018,2.서울특별시,강남구,0.631
2019,2.서울특별시,강남구,0.612
2020,2.서울특별시,강남구,0.537
2001,2.서울특별시,강동구,1.14
2002,2.서울특별시,강동구,1.06
2003,2.서울특별시,강동구,1.039
2004,2.서울특별시,강동구,1.038
2005,2.서울특별시,강동구,0.958
2006,2.서울특별시,강동구,0.993
2007,2.서울특별시,강동구,1.073
2008,2.서울특별시,강동구,1.008
2009,2.서울특별시,강동구,1.028
2010,2.서울특별시,강동구,1.096
2011,2.서울특별시,강동구,1.104
2012,2.서울특별시,강동구,1.101
2013,2.서울특별시,강동구,1.006
2014,2.서울특별시,강동구,1.039
2015,2.서울특별시,강동구,1.036
2016,2.서울특별시,강동구,0.938
2017,2.서울특별시,강동구,0.884
2018,2.서울특별시,강동구,0.82
2019,2.서울특별시,강동구,0.758
2020,2.서울특별시,강동구,0.748
2001,2.서울특별시,강북구,0.992
2002,2.서울특별시,강북구,0.922
2003,2.서울특별시,강북구,0.988
2004,2.서울특별시,강북구,0.921
2005,2.서울특별시,강북구,0.858
2006,2.서울특별시,강북구,0.886
2007,2.서울특별시,강북구,1.032
2008,2.서울특별시,강북구,0.971
2009,2.서울특별시,강북구,0.971
2010,2.서울특별시,강북구,0.996
2011,2.서울특별시,강북구,1.018
2012,2.서울특별시,강북구,1.051
2013,2.서울특별시,강북구,0.963
2014,2.서울특별시,강북구,0.955
2015,2.서울특별시,강북구,0.922
2016,2.서울특별시,강북구,0.878
2017,2.서울특별시,강북구,0.825
2018,2.서울특별시,강북구,0.647
2019,2.서울특별시,강북구,0.617
2020,2.서울특별시,강북구,0.55
2001,2.서울특별시,강서구,1.185
2002,2.서울특별시,강서구,1.075
2003,2.서울특별시,강서구,1.102
2004,2.서울특별시,강서구,1.095
2005,2.서울특별시,강서구,1.026
2006,2.서울특별시,강서구,1.064
2007,2.서울특별시,강서구,1.165
2008,2.서울특별시,강서구,1.123
2009,2.서울특별시,강서구,1.067
2010,2.서울특별시,강서구,1.085
2011,2.서울특별시,강서구,1.113
2012,2.서울특별시,강서구,1.151
2013,2.서울특별시,강서구,1.032
2014,2.서울특별시,강서구,1.064
2015,2.서울특별시,강서구,1.129
2016,2.서울특별시,강서구,1.059
2017,2.서울특별시,강서구,0.925
2018,2.서울특별시,강서구,0.826
2019,2.서울특별시,강서구,0.76
2020,2.서울특별시,강서구,0.675
2001,2.서울특별시,관악구,1.091
2002,2.서울특별시,관악구,0.979
2003,2.서울특별시,관악구,0.993
2004,2.서울특별시,관악구,0.976
2005,2.서울특별시,관악구,0.91
2006,2.서울특별시,관악구,0.922
2007,2.서울특별시,관악구,1.005
2008,2.서울특별시,관악구,0.942
2009,2.서울특별시,관악구,0.879
2010,2.서울특별시,관악구,0.881
2011,2.서울특별시,관악구,0.897
2012,2.서울특별시,관악구,0.891
2013,2.서울특별시,관악구,0.825
2014,2.서울특별시,관악구,0.834
2015,2.서울특별시,관악구,0.833
2016,2.서울특별시,관악구,0.777
2017,2.서울특별시,관악구,0.662
2018,2.서울특별시,관악구,0.597
2019,2.서울특별시,관악구,0.536
2020,2.서울특별시,관악구,0.474
2001,2.서울특별시,광진구,1.115
2002,2.서울특별시,광진구,1.012
2003,2.서울특별시,광진구,1.035
2004,2.서울특별시,광진구,0.982
2005,2.서울특별시,광진구,0.881
2006,2.서울특별시,광진구,0.945
2007,2.서울특별시,광진구,0.991
2008,2.서울특별시,광진구,0.939
2009,2.서울특별시,광진구,0.891
2010,2.서울특별시,광진구,0.935
2011,2.서울특별시,광진구,0.9
2012,2.서울특별시,광진구,0.957
2013,2.서울특별시,광진구,0.877
2014,2.서울특별시,광진구,0.895
2015,2.서울특별시,광진구,0.903
2016,2.서울특별시,광진구,0.867
2017,2.서울특별시,광진구,0.749
2018,2.서울특별시,광진구,0.713
2019,2.서울특별시,광진구,0.652
2020,2.서울특별시,광진구,0.527
2001,2.서울특별시,구로구,1.269
2002,2.서울특별시,구로구,1.142
2003,2.서울특별시,구로구,1.131
2004,2.서울특별시,구로구,1.147
2005,2.서울특별시,구로구,1.082
2006,2.서울특별시,구로구,1.156
2007,2.서울특별시,구로구,1.232
2008,2.서울특별시,구로구,1.202
2009,2.서울특별시,구로구,1.124
2010,2.서울특별시,구로구,1.197
2011,2.서울특별시,구로구,1.177
2012,2.서울특별시,구로구,1.258
2013,2.서울특별시,구로구,1.162
2014,2.서울특별시,구로구,1.142
2015,2.서울특별시,구로구,1.169
2016,2.서울특별시,구로구,1.07
2017,2.서울특별시,구로구,0.943
2018,2.서울특별시,구로구,0.838
2019,2.서울특별시,구로구,0.794
2020,2.서울특별시,구로구,0.737
2001,2.서울특별시,금천구,1.129
2002,2.서울특별시,금천구,0.997
2003,2.서울특별시,금천구,1.028
2004,2.서울특별시,금천구,1.063
2005,2.서울특별시,금천구,0.951
2006,2.서울특별시,금천구,1.052
2007,2.서울특별시,금천구,1.08
2008,2.서울특별시,금천구,1.01
2009,2.서울특별시,금천구,0.974
2010,2.서울특별시,금천구,1.011
2011,2.서울특별시,금천구,1.001
2012,2.서울특별시,금천구,1.104
2013,2.서울특별시,금천구,0.944
2014,2.서울특별시,금천구,1.019
2015,2.서울특별시,금천구,1.086
2016,2.서울특별시,금천구,0.944
2017,2.서울특별시,금천구,0.901
2018,2.서울특별시,금천구,0.796
2019,2.서울특별시,금천구,0.709
2020,2.서울특별시,금천구,0.668
2001,2.서울특별시,노원구,1.349
2002,2.서울특별시,노원구,1.177
2003,2.서울특별시,노원구,1.216
2004,2.서울특별시,노원구,1.197
2005,2.서울특별시,노원구,1.061
2006,2.서울특별시,노원구,1.114
2007,2.서울특별시,노원구,1.21
2008,2.서울특별시,노원구,1.134
