Year,시도,시군구,Value
2008,0.전국,,0.958
2009,0.전국,,0.96
2010,0.전국,,0.958
2011,0.전국,,0.954
2012,0.전국,,0.957
2013,0.전국,,0.953
2014,0.전국,,0.948
2015,0.전국,,0.954
2016,0.전국,,0.954
2017,0.전국,,0.958
2018,0.전국,,0.96
2019,0.전국,,0.957
2008,1.수도권,,0.964
2009,1.수도권,,0.962
2010,1.수도권,,0.958
2011,1.수도권,,0.948
2012,1.수도권,,0.956
2013,1.수도권,,0.949
2014,1.수도권,,0.945
2015,1.수도권,,0.953
2016,1.수도권,,0.955
2017,1.수도권,,0.956
2018,1.수도권,,0.96
2019,1.수도권,,0.955
2008,2.서울특별시,,0.966
2009,2.서울특별시,,0.964
2010,2.서울특별시,,0.96
2011,2.서울특별시,,0.945
2012,2.서울특별시,,0.954
2013,2.서울특별시,,0.948
2014,2.서울특별시,,0.946
2015,2.서울특별시,,0.953
2016,2.서울특별시,,0.956
2017,2.서울특별시,,0.957
2018,2.서울특별시,,0.962
2019,2.서울특별시,,0.953
2008,2.서울특별시,강남구,0.979
2009,2.서울특별시,강남구,0.973
2010,2.서울특별시,강남구,0.965
2011,2.서울특별시,강남구,0.949
2012,2.서울특별시,강남구,0.965
2013,2.서울특별시,강남구,0.952
2014,2.서울특별시,강남구,0.963
2015,2.서울특별시,강남구,0.953
2016,2.서울특별시,강남구,0.961
2017,2.서울특별시,강남구,0.965
2018,2.서울특별시,강남구,0.964
2019,2.서울특별시,강남구,0.963
2008,2.서울특별시,강동구,0.956
2009,2.서울특별시,강동구,0.96
2010,2.서울특별시,강동구,0.967
2011,2.서울특별시,강동구,0.945
2012,2.서울특별시,강동구,0.937
2013,2.서울특별시,강동구,0.934
2014,2.서울특별시,강동구,0.947
2015,2.서울특별시,강동구,0.946
2016,2.서울특별시,강동구,0.942
2017,2.서울특별시,강동구,0.961
2018,2.서울특별시,강동구,0.963
2019,2.서울특별시,강동구,0.958
2008,2.서울특별시,강북구,0.97
2009,2.서울특별시,강북구,0.963
2010,2.서울특별시,강북구,0.958
2011,2.서울특별시,강북구,0.942
2012,2.서울특별시,강북구,0.944
2013,2.서울특별시,강북구,0.94
2014,2.서울특별시,강북구,0.933
2015,2.서울특별시,강북구,0.938
2016,2.서울특별시,강북구,0.95
2017,2.서울특별시,강북구,0.943
2018,2.서울특별시,강북구,0.951
2019,2.서울특별시,강북구,0.939
2008,2.서울특별시,강서구,0.956
2009,2.서울특별시,강서구,0.963
2010,2.서울특별시,강서구,0.955
2011,2.서울특별시,강서구,0.952
2012,2.서울특별시,강서구,0.962
2013,2.서울특별시,강서구,0.945
2014,2.서울특별시,강서구,0.951
2015,2.서울특별시,강서구,0.956
2016,2.서울특별시,강서구,0.96
2017,2.서울특별시,강서구,0.954
2018,2.서울특별시,강서구,0.971
2019,2.서울특별시,강서구,0.953
2008,2.서울특별시,관악구,0.96
2009,2.서울특별시,관악구,0.948
2010,2.서울특별시,관악구,0.961
2011,2.서울특별시,관악구,0.952
2012,2.서울특별시,관악구,0.962
2013,2.서울특별시,관악구,0.944
2014,2.서울특별시,관악구,0.944
2015,2.서울특별시,관악구,0.951
2016,2.서울특별시,관악구,0.95
2017,2.서울특별시,관악구,0.96
2018,2.서울특별시,관악구,0.963
2019,2.서울특별시,관악구,0.953
2008,2.서울특별시,광진구,0.963
2009,2.서울특별시,광진구,0.966
2010,2.서울특별시,광진구,0.958
2011,2.서울특별시,광진구,0.941
2012,2.서울특별시,광진구,0.955
2013,2.서울특별시,광진구,0.949
2014,2.서울특별시,광진구,0.958
2015,2.서울특별시,광진구,0.949
