Year,시도,시군구,Value
2001,0.전국,,1.0
2002,0.전국,,1.0
2003,0.전국,,1.0
2004,0.전국,,1.0
2005,0.전국,,1.0
2006,0.전국,,1.0
2007,0.전국,,1.0
2008,0.전국,,1.1
2009,0.전국,,1.0
2010,0.전국,,1.0
2011,0.전국,,1.0
2012,0.전국,,1.0
2013,0.전국,,1.0
2014,0.전국,,1.0
2015,0.전국,,1.0
2016,0.전국,,1.0
2017,0.전국,,1.0
2018,0.전국,,1.1
2019,0.전국,,1.1
2020,0.전국,,1.2
2001,1.수도권,,1.021654778
2002,1.수도권,,1.031763779
2003,1.수도권,,1.039486899
2004,1.수도권,,0.997368113
2005,1.수도권,,0.966113268
2006,1.수도권,,0.948852439
2007,1.수도권,,0.984196923
2008,1.수도권,,1.044427457
2009,1.수도권,,0.982251844
2010,1.수도권,,0.913214675
2011,1.수도권,,0.897053381
2012,1.수도권,,0.862950977
2013,1.수도권,,0.827098458
2014,1.수도권,,0.859966209
2015,1.수도권,,0.895279193
2016,1.수도권,,0.940467475
2017,1.수도권,,0.89964265
2018,1.수도권,,0.956467814
2019,1.수도권,,1.004532204
2020,1.수도권,,1.077485568
2001,2.서울특별시,,1.2
2002,2.서울특별시,,1.2
2003,2.서울특별시,,1.2
2004,2.서울특별시,,1.1
2005,2.서울특별시,,1.1
2006,2.서울특별시,,1.1
2007,2.서울특별시,,1.1
2008,2.서울특별시,,1.1
2009,2.서울특별시,,1.1
2010,2.서울특별시,,1.0
2011,2.서울특별시,,0.9
2012,2.서울특별시,,0.9
2013,2.서울특별시,,0.8
2014,2.서울특별시,,1.0
2015,2.서울특별시,,0.9
2016,2.서울특별시,,1.0
2017,2.서울특별시,,0.9
2018,2.서울특별시,,1.0
2019,2.서울특별시,,1.0
2020,2.서울특별시,,1.0
2001,2.서울특별시,강남구,1.5
2002,2.서울특별시,강남구,1.6
2003,2.서울특별시,강남구,1.7
2004,2.서울특별시,강남구,1.6
