Year,시도,Value
2011,0.전국,19.62764338
2013,0.전국,8.501418525
2015,0.전국,8.373873364
2017,0.전국,10.76641701
2019,0.전국,10.82668448
2021,0.전국,11.85812208
2011,1.수도권,20.15917245
2013,1.수도권,9.452682598
2015,1.수도권,8.774388733
2017,1.수도권,11.92091518
2019,1.수도권,12.08952888
2021,1.수도권,12.66657022
2011,2.서울특별시,19.64638625
2013,2.서울특별시,9.828883385
2015,2.서울특별시,9.913264918
2017,2.서울특별시,14.19984827
2019,2.서울특별시,12.07850143
2021,2.서울특별시,12.71118654
2011,3.인천광역시,20.00374983
2013,3.인천광역시,7.169113886
2015,3.인천광역시,7.588829981
2017,3.인천광역시,8.034778009
2019,3.인천광역시,11.17824313
2021,3.인천광역시,13.00657221
2011,4.경기도,20.65927194
2013,4.경기도,9.672735763
2015,4.경기도,8.109618892
2017,4.경기도,10.93220971
2019,4.경기도,12.31158146
2021,4.경기도,12.55615228
