Year,시도,Value
2009,0.전국,19.3
2011,0.전국,19.8
2013,0.전국,19.9
2015,0.전국,18.2
2017,0.전국,17.8
2019,0.전국,16.1
2021,0.전국,8.4
2009,1.수도권,18.28561364
2011,1.수도권,18.65899644
2013,1.수도권,18.74425298
2015,1.수도권,17.40535606
2017,1.수도권,17.56170099
2019,1.수도권,15.34560947
2021,1.수도권,7.61907609
2009,2.서울특별시,18.1
2011,2.서울특별시,18.1
2013,2.서울특별시,17.7
2015,2.서울특별시,17.9
2017,2.서울특별시,18.0
2019,2.서울특별시,15.8
2021,2.서울특별시,7.4
2009,3.인천광역시,17.8
2011,3.인천광역시,18.5
2013,3.인천광역시,18.6
2015,3.인천광역시,15.8
2017,3.인천광역시,15.9
2019,3.인천광역시,15.0
2021,3.인천광역시,7.5
2009,4.경기도,18.6
2011,4.경기도,19.2
2013,4.경기도,19.7
2015,4.경기도,17.3
2017,4.경기도,17.6
2019,4.경기도,15.1
2021,4.경기도,7.8
