Year,시도,Value
2001,0.전국,4.0
2002,0.전국,3.3
2003,0.전국,3.6
2004,0.전국,3.7
2005,0.전국,3.7
2006,0.전국,3.5
2007,0.전국,3.2
2008,0.전국,3.2
2009,0.전국,3.6
2010,0.전국,3.7
2011,0.전국,3.4
2012,0.전국,3.2
2013,0.전국,3.1
2014,0.전국,3.5
2015,0.전국,3.6
2016,0.전국,3.7
2017,0.전국,3.7
2018,0.전국,3.8
2019,0.전국,3.8
2020,0.전국,4.0
2021,0.전국,3.7
2001,1.수도권,4.257734885
2002,1.수도권,3.643389456
2003,1.수도권,4.032623471
2004,1.수도권,4.189307625
2005,1.수도권,4.356060606
2006,1.수도권,4.070602145
2007,1.수도권,3.717533815
2008,1.수도권,3.589281324
2009,1.수도권,4.188181297
2010,1.수도권,4.409411012
2011,1.수도권,4.048646528
2012,1.수도권,3.815198886
2013,1.수도권,3.489973978
2014,1.수도권,3.916623396
2015,1.수도권,4.158401293
2016,1.수도권,4.134818374
2017,1.수도권,4.213241617
2018,1.수도권,4.217124947
2019,1.수도권,4.07803916
2020,1.수도권,4.249291785
2021,1.수도권,4.142588596
2001,2.서울특별시,4.8
2002,2.서울특별시,4.3
2003,2.서울특별시,4.6
2004,2.서울특별시,4.7
2005,2.서울특별시,4.8
2006,2.서울특별시,4.6
2007,2.서울특별시,4.1
2008,2.서울특별시,3.9
2009,2.서울특별시,4.5
2010,2.서울특별시,4.7
2011,2.서울특별시,4.5
2012,2.서울특별시,4.2
2013,2.서울특별시,3.9
2014,2.서울특별시,4.4
2015,2.서울특별시,4.2
2016,2.서울특별시,4.2
2017,2.서울특별시,4.5
2018,2.서울특별시,4.8
2019,2.서울특별시,4.4
2020,2.서울특별시,4.6
2021,2.서울특별시,4.8
2001,3.인천광역시,4.7
2002,3.인천광역시,4.0
2003,3.인천광역시,4.4
2004,3.인천광역시,4.5
2005,3.인천광역시,4.5
2006,3.인천광역시,4.4
2007,3.인천광역시,4.0
2008,3.인천광역시,3.9
2009,3.인천광역시,4.5
2010,3.인천광역시,5.0
2011,3.인천광역시,4.7
2012,3.인천광역시,4.5
2013,3.인천광역시,4.1
2014,3.인천광역시,4.7
2015,3.인천광역시,5.0
2016,3.인천광역시,4.9
2017,3.인천광역시,4.6
2018,3.인천광역시,4.3
2019,3.인천광역시,4.4
2020,3.인천광역시,4.6
2021,3.인천광역시,4.0
2001,4.경기도,3.5
2002,4.경기도,2.8
2003,4.경기도,3.4
2004,4.경기도,3.6
2005,4.경기도,3.8
2006,4.경기도,3.5
2007,4.경기도,3.3
2008,4.경기도,3.2
2009,4.경기도,3.8
2010,4.경기도,4.0
2011,4.경기도,3.4
2012,4.경기도,3.3
2013,4.경기도,3.0
2014,4.경기도,3.3
2015,4.경기도,3.9
2016,4.경기도,3.9
2017,4.경기도,3.9
2018,4.경기도,3.8
2019,4.경기도,3.8
2020,4.경기도,4.0
2021,4.경기도,3.7
