Year,시도,시군구,Value
2001,0.전국,,7.4
2002,0.전국,,7.7
2003,0.전국,,8.1
2004,0.전국,,8.5
2005,0.전국,,8.9
2006,0.전국,,9.3
2007,0.전국,,9.9
2008,0.전국,,10.2
2009,0.전국,,10.6
2010,0.전국,,10.9
2011,0.전국,,11.2
2012,0.전국,,11.7
2013,0.전국,,12.2
2014,0.전국,,12.7
2015,0.전국,,13.1
2016,0.전국,,13.5
2017,0.전국,,14.2
2018,0.전국,,14.8
2019,0.전국,,15.5
2020,0.전국,,16.4
2021,0.전국,,17.1
2001,1.수도권,,5.8
2002,1.수도권,,6.1
2003,1.수도권,,6.4
2004,1.수도권,,6.8
2005,1.수도권,,7.1
2006,1.수도권,,7.5
2007,1.수도권,,8.0
2008,1.수도권,,8.4
2009,1.수도권,,8.7
2010,1.수도권,,9.1
2011,1.수도권,,9.5
2012,1.수도권,,10.0
2013,1.수도권,,10.5
2014,1.수도권,,10.9
2015,1.수도권,,11.4
2016,1.수도권,,11.7
2017,1.수도권,,12.4
2018,1.수도권,,12.9
2019,1.수도권,,13.6
2020,1.수도권,,14.4
2021,1.수도권,,15.0
2001,2.서울특별시,,5.7
2002,2.서울특별시,,6.0
2003,2.서울특별시,,6.4
2004,2.서울특별시,,6.8
2005,2.서울특별시,,7.2
2006,2.서울특별시,,7.7
2007,2.서울특별시,,8.3
2008,2.서울특별시,,8.7
2009,2.서울특별시,,9.2
2010,2.서울특별시,,9.7
2011,2.서울특별시,,10.2
2012,2.서울특별시,,10.8
2013,2.서울특별시,,11.5
2014,2.서울특별시,,12.0
2015,2.서울특별시,,12.6
2016,2.서울특별시,,13.0
2017,2.서울특별시,,13.8
2018,2.서울특별시,,14.4
2019,2.서울특별시,,15.2
2020,2.서울특별시,,16.1
2021,2.서울특별시,,16.8
2001,2.서울특별시,강남구,5.0
2002,2.서울특별시,강남구,5.2
2003,2.서울특별시,강남구,5.4
2004,2.서울특별시,강남구,5.6
2005,2.서울특별시,강남구,5.8
2006,2.서울특별시,강남구,6.1
2007,2.서울특별시,강남구,6.6
2008,2.서울특별시,강남구,6.9
2009,2.서울특별시,강남구,7.3
2010,2.서울특별시,강남구,7.7
2011,2.서울특별시,강남구,8.3
2012,2.서울특별시,강남구,8.9
2013,2.서울특별시,강남구,9.5
2014,2.서울특별시,강남구,9.9
2015,2.서울특별시,강남구,10.4
2016,2.서울특별시,강남구,10.9
2017,2.서울특별시,강남구,11.7
2018,2.서울특별시,강남구,12.3
2019,2.서울특별시,강남구,13.0
2020,2.서울특별시,강남구,13.9
2021,2.서울특별시,강남구,14.6
2001,2.서울특별시,강동구,4.8
2002,2.서울특별시,강동구,5.0
2003,2.서울특별시,강동구,5.3
2004,2.서울특별시,강동구,5.6
2005,2.서울특별시,강동구,5.9
2006,2.서울특별시,강동구,6.3
2007,2.서울특별시,강동구,6.8
2008,2.서울특별시,강동구,7.2
2009,2.서울특별시,강동구,7.5
2010,2.서울특별시,강동구,8.0
2011,2.서울특별시,강동구,8.5
2012,2.서울특별시,강동구,9.2
2013,2.서울특별시,강동구,9.9
2014,2.서울특별시,강동구,10.5
2015,2.서울특별시,강동구,11.3
2016,2.서울특별시,강동구,12.0
2017,2.서울특별시,강동구,12.9
2018,2.서울특별시,강동구,13.7
2019,2.서울특별시,강동구,14.5
2020,2.서울특별시,강동구,15.2
2021,2.서울특별시,강동구,16.0
2001,2.서울특별시,강북구,6.2
2002,2.서울특별시,강북구,6.6
2003,2.서울특별시,강북구,7.1
2004,2.서울특별시,강북구,7.7
2005,2.서울특별시,강북구,8.3
2006,2.서울특별시,강북구,9.1
2007,2.서울특별시,강북구,10.0
2008,2.서울특별시,강북구,10.7
2009,2.서울특별시,강북구,11.4
2010,2.서울특별시,강북구,12.0
2011,2.서울특별시,강북구,12.6
2012,2.서울특별시,강북구,13.4
2013,2.서울특별시,강북구,14.3
2014,2.서울특별시,강북구,15.1
2015,2.서울특별시,강북구,15.9
2016,2.서울특별시,강북구,16.5
2017,2.서울특별시,강북구,17.4
2018,2.서울특별시,강북구,18.2
2019,2.서울특별시,강북구,19.3
2020,2.서울특별시,강북구,20.6
2021,2.서울특별시,강북구,21.5
2001,2.서울특별시,강서구,5.4
2002,2.서울특별시,강서구,5.6
2003,2.서울특별시,강서구,5.9
2004,2.서울특별시,강서구,6.2
2005,2.서울특별시,강서구,6.5
2006,2.서울특별시,강서구,6.9
2007,2.서울특별시,강서구,7.5
2008,2.서울특별시,강서구,7.9
2009,2.서울특별시,강서구,8.3
2010,2.서울특별시,강서구,8.7
2011,2.서울특별시,강서구,9.2
2012,2.서울특별시,강서구,9.8
2013,2.서울특별시,강서구,10.4
2014,2.서울특별시,강서구,11.0
2015,2.서울특별시,강서구,11.5
2016,2.서울특별시,강서구,11.9
2017,2.서울특별시,강서구,12.6
2018,2.서울특별시,강서구,13.3
2019,2.서울특별시,강서구,14.2
2020,2.서울특별시,강서구,15.3
2021,2.서울특별시,강서구,16.1
2001,2.서울특별시,관악구,5.1
2002,2.서울특별시,관악구,5.4
2003,2.서울특별시,관악구,5.8
2004,2.서울특별시,관악구,6.2
2005,2.서울특별시,관악구,6.6
2006,2.서울특별시,관악구,7.1
2007,2.서울특별시,관악구,7.8
2008,2.서울특별시,관악구,8.3
2009,2.서울특별시,관악구,8.8
2010,2.서울특별시,관악구,9.5
2011,2.서울특별시,관악구,10.0
2012,2.서울특별시,관악구,10.8
2013,2.서울특별시,관악구,11.5
2014,2.서울특별시,관악구,12.1
2015,2.서울특별시,관악구,12.7
2016,2.서울특별시,관악구,13.2
2017,2.서울특별시,관악구,13.9
2018,2.서울특별시,관악구,14.3
2019,2.서울특별시,관악구,15.0
2020,2.서울특별시,관악구,15.8
2021,2.서울특별시,관악구,16.3
2001,2.서울특별시,광진구,4.8
2002,2.서울특별시,광진구,5.0
2003,2.서울특별시,광진구,5.4
2004,2.서울특별시,광진구,5.8
2005,2.서울특별시,광진구,6.2
2006,2.서울특별시,광진구,6.6
2007,2.서울특별시,광진구,7.1
2008,2.서울특별시,광진구,7.6
2009,2.서울특별시,광진구,8.0
2010,2.서울특별시,광진구,8.5
2011,2.서울특별시,광진구,9.0
2012,2.서울특별시,광진구,9.6
2013,2.서울특별시,광진구,10.1
2014,2.서울특별시,광진구,10.7
2015,2.서울특별시,광진구,11.2
2016,2.서울특별시,광진구,11.6
2017,2.서울특별시,광진구,12.2
2018,2.서울특별시,광진구,12.8
2019,2.서울특별시,광진구,13.6
2020,2.서울특별시,광진구,14.5
2021,2.서울특별시,광진구,15.1
2001,2.서울특별시,구로구,5.0
2002,2.서울특별시,구로구,5.2
2003,2.서울특별시,구로구,5.6
2004,2.서울특별시,구로구,6.0
2005,2.서울특별시,구로구,6.5
2006,2.서울특별시,구로구,6.9
2007,2.서울특별시,구로구,7.6
2008,2.서울특별시,구로구,8.2
2009,2.서울특별시,구로구,8.6
2010,2.서울특별시,구로구,9.2
2011,2.서울특별시,구로구,9.7
2012,2.서울특별시,구로구,10.4
2013,2.서울특별시,구로구,11.1
2014,2.서울특별시,구로구,11.9
2015,2.서울특별시,구로구,12.6
2016,2.서울특별시,구로구,13.2
2017,2.서울특별시,구로구,14.2
2018,2.서울특별시,구로구,15.1
2019,2.서울특별시,구로구,16.0
2020,2.서울특별시,구로구,17.1
2021,2.서울특별시,구로구,18.0
2001,2.서울특별시,금천구,4.8
2002,2.서울특별시,금천구,5.2
2003,2.서울특별시,금천구,5.6
2004,2.서울특별시,금천구,6.1
2005,2.서울특별시,금천구,6.6
2006,2.서울특별시,금천구,7.2
2007,2.서울특별시,금천구,7.9
2008,2.서울특별시,금천구,8.5
2009,2.서울특별시,금천구,9.0
2010,2.서울특별시,금천구,9.7
2011,2.서울특별시,금천구,10.2
2012,2.서울특별시,금천구,10.9
2013,2.서울특별시,금천구,11.6
2014,2.서울특별시,금천구,12.3
2015,2.서울특별시,금천구,13.0
2016,2.서울특별시,금천구,13.6
2017,2.서울특별시,금천구,14.4
2018,2.서울특별시,금천구,15.1
2019,2.서울특별시,금천구,16.0
2020,2.서울특별시,금천구,17.0
2021,2.서울특별시,금천구,17.5
2001,2.서울특별시,노원구,5.7
2002,2.서울특별시,노원구,6.1
2003,2.서울특별시,노원구,6.4
2004,2.서울특별시,노원구,6.8
2005,2.서울특별시,노원구,7.2
2006,2.서울특별시,노원구,7.7
2007,2.서울특별시,노원구,8.2
2008,2.서울특별시,노원구,8.6
2009,2.서울특별시,노원구,8.9
2010,2.서울특별시,노원구,9.3
2011,2.서울특별시,노원구,9.7
2012,2.서울특별시,노원구,10.2
2013,2.서울특별시,노원구,10.8
2014,2.서울특별시,노원구,11.4
2015,2.서울특별시,노원구,12.0
2016,2.서울특별시,노원구,12.5
2017,2.서울특별시,노원구,13.4
2018,2.서울특별시,노원구,14.2
2019,2.서울특별시,노원구,15.2
2020,2.서울특별시,노원구,16.3
2021,2.서울특별시,노원구,17.3
2001,2.서울특별시,도봉구,5.6
2002,2.서울특별시,도봉구,6.0
2003,2.서울특별시,도봉구,6.4
2004,2.서울특별시,도봉구,6.8
2005,2.서울특별시,도봉구,7.3
2006,2.서울특별시,도봉구,8.0
2007,2.서울특별시,도봉구,8.7
2008,2.서울특별시,도봉구,9.3
2009,2.서울특별시,도봉구,9.8
2010,2.서울특별시,도봉구,10.4
2011,2.서울특별시,도봉구,10.9
2012,2.서울특별시,도봉구,11.7
2013,2.서울특별시,도봉구,12.4
2014,2.서울특별시,도봉구,13.1
2015,2.서울특별시,도봉구,13.8
2016,2.서울특별시,도봉구,14.5
2017,2.서울특별시,도봉구,15.5
2018,2.서울특별시,도봉구,16.5
2019,2.서울특별시,도봉구,17.6
2020,2.서울특별시,도봉구,19.1
2021,2.서울특별시,도봉구,20.2
2001,2.서울특별시,동대문구,6.6
2002,2.서울특별시,동대문구,6.9
2003,2.서울특별시,동대문구,7.3
2004,2.서울특별시,동대문구,7.9
2005,2.서울특별시,동대문구,8.4
2006,2.서울특별시,동대문구,9.0
2007,2.서울특별시,동대문구,9.8
2008,2.서울특별시,동대문구,10.3
2009,2.서울특별시,동대문구,10.9
2010,2.서울특별시,동대문구,11.6
2011,2.서울특별시,동대문구,12.1
2012,2.서울특별시,동대문구,12.8
2013,2.서울특별시,동대문구,13.4
2014,2.서울특별시,동대문구,14.0
2015,2.서울특별시,동대문구,14.5
2016,2.서울특별시,동대문구,15.0
2017,2.서울특별시,동대문구,15.8
2018,2.서울특별시,동대문구,16.4
2019,2.서울특별시,동대문구,17.1
2020,2.서울특별시,동대문구,18.0
2021,2.서울특별시,동대문구,18.4
2001,2.서울특별시,동작구,6.1
2002,2.서울특별시,동작구,6.5
2003,2.서울특별시,동작구,6.9
2004,2.서울특별시,동작구,7.3
2005,2.서울특별시,동작구,7.8
2006,2.서울특별시,동작구,8.3
2007,2.서울특별시,동작구,9.0
2008,2.서울특별시,동작구,9.5
2009,2.서울특별시,동작구,10.0
2010,2.서울특별시,동작구,10.5
2011,2.서울특별시,동작구,11.0
2012,2.서울특별시,동작구,11.6
2013,2.서울특별시,동작구,12.1
2014,2.서울특별시,동작구,12.8
2015,2.서울특별시,동작구,13.3
2016,2.서울특별시,동작구,13.7
2017,2.서울특별시,동작구,14.4
2018,2.서울특별시,동작구,15.0
2019,2.서울특별시,동작구,15.7
2020,2.서울특별시,동작구,16.6
2021,2.서울특별시,동작구,17.2
2001,2.서울특별시,마포구,6.6
2002,2.서울특별시,마포구,6.9
2003,2.서울특별시,마포구,7.3
2004,2.서울특별시,마포구,7.7
2005,2.서울특별시,마포구,8.1
2006,2.서울특별시,마포구,8.5
2007,2.서울특별시,마포구,9.1
2008,2.서울특별시,마포구,9.5
2009,2.서울특별시,마포구,9.9
2010,2.서울특별시,마포구,10.5
2011,2.서울특별시,마포구,10.9
2012,2.서울특별시,마포구,11.4
2013,2.서울특별시,마포구,11.9
2014,2.서울특별시,마포구,12.2
2015,2.서울특별시,마포구,12.5
2016,2.서울특별시,마포구,12.7
2017,2.서울특별시,마포구,13.2
2018,2.서울특별시,마포구,13.5
2019,2.서울특별시,마포구,13.9
2020,2.서울특별시,마포구,14.5
2021,2.서울특별시,마포구,14.7
2001,2.서울특별시,서대문구,6.8
2002,2.서울특별시,서대문구,7.3
2003,2.서울특별시,서대문구,7.7
2004,2.서울특별시,서대문구,8.4
2005,2.서울특별시,서대문구,9.0
2006,2.서울특별시,서대문구,9.6
2007,2.서울특별시,서대문구,10.3
2008,2.서울특별시,서대문구,10.9
2009,2.서울특별시,서대문구,11.4
2010,2.서울특별시,서대문구,12.1
2011,2.서울특별시,서대문구,12.6
2012,2.서울특별시,서대문구,13.3
2013,2.서울특별시,서대문구,13.9
2014,2.서울특별시,서대문구,14.5
2015,2.서울특별시,서대문구,14.9
2016,2.서울특별시,서대문구,15.1
2017,2.서울특별시,서대문구,15.6
2018,2.서울특별시,서대문구,16.1
2019,2.서울특별시,서대문구,16.7
2020,2.서울특별시,서대문구,17.2
2021,2.서울특별시,서대문구,17.7
2001,2.서울특별시,서초구,5.2
2002,2.서울특별시,서초구,5.4
2003,2.서울특별시,서초구,5.7
2004,2.서울특별시,서초구,6.0
