Year,지역,Value
2001,0.전국,59.04173951
2002,0.전국,60.06375966
2003,0.전국,59.40122962
2004,0.전국,60.04977232
2005,0.전국,59.89244491
2006,0.전국,60.02277904
2007,0.전국,60.1352731
2008,0.전국,59.77372722
2009,0.전국,58.77769782
2010,0.전국,58.86834048
2011,0.전국,59.26257037
2012,0.전국,59.6196574
2013,0.전국,59.80285552
2014,0.전국,60.51407875
2015,0.전국,60.54256574
2016,0.전국,60.56276659
2017,0.전국,60.83403519
2018,0.전국,60.70798063
2019,0.전국,60.94508359
2020,0.전국,60.07368539
2021,0.전국,60.49911269
2001,1.수도권,59.32352424
2002,1.수도권,60.10558935
2003,1.수도권,59.51109862
2004,1.수도권,60.33778563
2005,1.수도권,60.32582134
2006,1.수도권,60.51355815
2007,1.수도권,60.56999687
2008,1.수도권,60.19338006
2009,1.수도권,58.87803404
2010,1.수도권,59.26679234
2011,1.수도권,59.78292754
2012,1.수도권,60.05023912
2013,1.수도권,60.22445081
2014,1.수도권,61.11635369
2015,1.수도권,60.93698912
2016,1.수도권,60.99481289
2017,1.수도권,61.32464911
2018,1.수도권,61.16089706
2019,1.수도권,61.23375747
2020,1.수도권,60.04618938
2021,1.수도권,60.44959607
2001,2.충청권,58.82034632
2002,2.충청권,60.0483611
2003,2.충청권,59.0242602
2004,2.충청권,59.85748219
2005,2.충청권,59.29595828
2006,2.충청권,59.91788555
2007,2.충청권,60.43346774
2008,2.충청권,59.72325179
2009,2.충청권,58.85783718
2010,2.충청권,58.86846503
2011,2.충청권,59.34349355
2012,2.충청권,59.47878229
2013,2.충청권,60.34952338
2014,2.충청권,61.33928571
2015,2.충청권,61.56544617
2016,2.충청권,61.24865447
2017,2.충청권,61.39159949
2018,2.충청권,62.05740624
2019,2.충청권,62.35269795
2020,2.충청권,62.17382371
2021,2.충청권,62.52554148
2001,3.호남권,58.83069428
2002,3.호남권,59.71099682
2003,3.호남권,59.28483354
2004,3.호남권,59.31445604
2005,3.호남권,59.51548452
2006,3.호남권,59.45205479
2007,3.호남권,60.00993542
2008,3.호남권,59.73833621
2009,3.호남권,59.64783566
2010,3.호남권,58.81925962
2011,3.호남권,58.9596755
2012,3.호남권,59.2058615
2013,3.호남권,59.6108767
2014,3.호남권,59.82826642
2015,3.호남권,60.24401473
2016,3.호남권,60.34364261
2017,3.호남권,59.97255261
2018,3.호남권,60.06864989
2019,3.호남권,60.78386431
2020,3.호남권,60.95544327
2021,3.호남권,61.55081441
2001,4.대경권,60.37781545
2002,4.대경권,61.32235408
2003,4.대경권,60.75151515
2004,4.대경권,61.43203883
2005,4.대경권,61.05442177
2006,4.대경권,60.7738815
2007,4.대경권,60.22617902
2008,4.대경권,59.67471897
2009,4.대경권,59.30149679
2010,4.대경권,59.74056604
2011,4.대경권,59.44872693
2012,4.대경권,60.35242291
2013,4.대경권,60.0921659
2014,4.대경권,61.05263158
2015,4.대경권,60.96950387
2016,4.대경권,60.92865232
2017,4.대경권,60.71428571
2018,4.대경권,59.99547716
2019,4.대경권,59.90502035
2020,4.대경권,58.97552131
2021,4.대경권,59.67741935
2001,5.동남권,57.57976525
2002,5.동남권,59.0856767
2003,5.동남권,58.19967267
2004,5.동남권,58.70273794
2005,5.동남권,58.29276209
2006,5.동남권,58.23415889
2007,5.동남권,58.535418
2008,5.동남권,58.43601896
2009,5.동남권,57.21214018
2010,5.동남권,57.14728682
2011,5.동남권,57.75835633
2012,5.동남권,58.19397993
2013,5.동남권,58.26925976
2014,5.동남권,58.36070469
2015,5.동남권,58.45424933
2016,5.동남권,58.41802916
2017,5.동남권,58.72315387
2018,5.동남권,58.54556161
2019,5.동남권,58.92936145
2020,5.동남권,58.06976057
2021,5.동남권,58.29145729
2001,6.강원권,56.69224211
2002,6.강원권,58.56777494
2003,6.강원권,57.16723549
2004,6.강원권,58.00681431
2005,6.강원권,57.58091993
2006,6.강원권,58.31918506
2007,6.강원권,57.60135135
2008,6.강원권,57.65690377
2009,6.강원권,57.53311258
2010,6.강원권,55.98360656
2011,6.강원권,56.2601626
2012,6.강원권,56.87851971
2013,6.강원권,56.29984051
2014,6.강원권,56.90607735
2015,6.강원권,57.890625
2016,6.강원권,58.15217391
2017,6.강원권,61.003861
2018,6.강원권,60.69230769
2019,6.강원권,62.24098235
2020,6.강원권,60.82631982
2021,6.강원권,61.42748671
2001,7.제주권,66.58291457
2002,7.제주권,67.91044776
2003,7.제주권,69.45812808
2004,7.제주권,68.70415648
2005,7.제주권,68.76513317
2006,7.제주권,69.13875598
2007,7.제주권,68.17102138
2008,7.제주권,68.0
2009,7.제주권,67.20930233
2010,7.제주권,65.13761468
2011,7.제주권,66.06741573
2012,7.제주권,66.74008811
2013,7.제주권,66.4516129
2014,7.제주권,67.22338205
2015,7.제주권,68.48484848
2016,7.제주권,69.3359375
2017,7.제주권,70.83333333
2018,7.제주권,68.38235294
2019,7.제주권,68.45878136
2020,7.제주권,67.14031972
2021,7.제주권,67.42957746
