Year,시도,Value
2001,0.전국,59.0
2002,0.전국,60.1
2003,0.전국,59.4
2004,0.전국,60.0
2005,0.전국,59.9
2006,0.전국,60.0
2007,0.전국,60.1
2008,0.전국,59.8
2009,0.전국,58.8
2010,0.전국,58.9
2011,0.전국,59.3
2012,0.전국,59.6
2013,0.전국,59.8
2014,0.전국,60.5
2015,0.전국,60.5
2016,0.전국,60.6
2017,0.전국,60.8
2018,0.전국,60.7
2019,0.전국,60.9
2020,0.전국,60.1
2021,0.전국,60.5
2001,1.수도권,59.3
2002,1.수도권,60.1
2003,1.수도권,59.5
2004,1.수도권,60.3
2005,1.수도권,60.3
2006,1.수도권,60.5
2007,1.수도권,60.6
2008,1.수도권,60.2
2009,1.수도권,58.9
2010,1.수도권,59.3
2011,1.수도권,59.8
2012,1.수도권,60.1
2013,1.수도권,60.2
2014,1.수도권,61.1
2015,1.수도권,60.9
2016,1.수도권,61.0
2017,1.수도권,61.3
2018,1.수도권,61.2
2019,1.수도권,61.2
2020,1.수도권,60.0
2021,1.수도권,60.4
2001,2.서울특별시,58.8
2002,2.서울특별시,59.5
2003,2.서울특별시,59.3
2004,2.서울특별시,60.3
2005,2.서울특별시,60.5
2006,2.서울특별시,60.5
2007,2.서울특별시,60.8
2008,2.서울특별시,60.1
2009,2.서울특별시,58.5
2010,2.서울특별시,59.2
2011,2.서울특별시,60.0
2012,2.서울특별시,59.9
2013,2.서울특별시,59.9
2014,2.서울특별시,60.5
2015,2.서울특별시,60.0
2016,2.서울특별시,60.0
2017,2.서울특별시,60.2
2018,2.서울특별시,59.6
2019,2.서울특별시,60.0
2020,2.서울특별시,59.3
2021,2.서울특별시,59.2
2001,3.인천광역시,59.1
2002,3.인천광역시,60.1
2003,3.인천광역시,59.2
2004,3.인천광역시,59.2
2005,3.인천광역시,58.9
2006,3.인천광역시,59.5
2007,3.인천광역시,60.0
2008,3.인천광역시,59.3
2009,3.인천광역시,59.2
2010,3.인천광역시,59.6
2011,3.인천광역시,60.7
2012,3.인천광역시,61.6
2013,3.인천광역시,61.3
2014,3.인천광역시,61.3
2015,3.인천광역시,61.1
2016,3.인천광역시,61.8
2017,3.인천광역시,61.7
2018,3.인천광역시,62.9
2019,3.인천광역시,62.5
2020,3.인천광역시,61.3
2021,3.인천광역시,61.3
2001,4.경기도,60.0
2002,4.경기도,60.8
2003,4.경기도,59.8
2004,4.경기도,60.7
2005,4.경기도,60.5
2006,4.경기도,60.7
2007,4.경기도,60.5
2008,4.경기도,60.5
2009,4.경기도,59.2
2010,4.경기도,59.2
2011,4.경기도,59.3
2012,4.경기도,59.8
2013,4.경기도,60.2
2014,4.경기도,61.6
2015,4.경기도,61.7
2016,4.경기도,61.7
2017,4.경기도,62.1
2018,4.경기도,62.0
2019,4.경기도,61.9
2020,4.경기도,60.3
2021,4.경기도,61.1
