Year,시도,Value
2005,0.전국,11.38999542
2006,0.전국,11.68542401
2007,0.전국,11.43375681
2008,0.전국,10.84808502
2009,0.전국,10.56821378
2010,0.전국,10.26537966
2011,0.전국,10.10742433
2012,0.전국,9.805535307
2013,0.전국,10.02970071
2014,0.전국,10.51849481
2015,0.전국,11.35545782
2016,0.전국,12.67890176
2017,0.전국,13.92216313
2018,0.전국,15.54721605
2019,0.전국,18.24944476
2020,0.전국,21.18692012
2021,0.전국,23.97280876
2005,1.수도권,8.298608659
2006,1.수도권,8.789049265
2007,1.수도권,8.543861876
2008,1.수도권,8.223296392
2009,1.수도권,8.207789309
2010,1.수도권,8.215789474
2011,1.수도권,8.274789241
2012,1.수도권,8.097090976
2013,1.수도권,8.435781662
2014,1.수도권,9.134830455
2015,1.수도권,10.13679573
2016,1.수도권,11.88763936
2017,1.수도권,13.58402925
2018,1.수도권,15.58166507
2019,1.수도권,18.40751627
2020,1.수도권,21.10766847
2021,1.수도권,23.79915234
2005,2.서울특별시,12.65015015
2006,2.서울특별시,13.39869281
2007,2.서울특별시,13.57556038
2008,2.서울특별시,13.23214286
2009,2.서울특별시,13.47642505
2010,2.서울특별시,13.54344123
2011,2.서울특별시,13.54627355
2012,2.서울특별시,13.47506883
2013,2.서울특별시,14.15010383
2014,2.서울특별시,15.55915721
2015,2.서울특별시,17.44468021
2016,2.서울특별시,20.88567839
2017,2.서울특별시,24.8955991
2018,2.서울특별시,29.39414115
2019,2.서울특별시,34.29273429
2020,2.서울특별시,38.43575419
2021,2.서울특별시,42.1865716
2005,3.인천광역시,5.756457565
2006,3.인천광역시,7.003610108
2007,3.인천광역시,7.054212933
2008,3.인천광역시,6.658595642
2009,3.인천광역시,6.71178793
2010,3.인천광역시,7.215939688
2011,3.인천광역시,7.157157157
2012,3.인천광역시,6.923429619
2013,3.인천광역시,7.909854176
2014,3.인천광역시,8.232235702
2015,3.인천광역시,8.867427568
2016,3.인천광역시,9.726580009
2017,3.인천광역시,10.56724611
2018,3.인천광역시,11.81690799
2019,3.인천광역시,14.39726696
2020,3.인천광역시,16.31497684
2021,3.인천광역시,19.02384914
2005,4.경기도,5.658105939
2006,4.경기도,5.874872838
2007,4.경기도,5.603497871
2008,4.경기도,5.601317957
2009,4.경기도,5.599617774
2010,4.경기도,5.606315976
2011,4.경기도,5.742071882
2012,4.경기도,5.563757868
2013,4.경기도,5.642023346
2014,4.경기도,6.003469342
2015,4.경기도,6.564741114
2016,4.경기도,7.557755776
2017,4.경기도,8.186046512
2018,4.경기도,9.167950693
2019,4.경기도,11.12781955
2020,4.경기도,13.32589908
2021,4.경기도,15.48934491
