Year,지역,Value
2001,0.전국,0
2002,0.전국,0
2003,0.전국,0
2004,0.전국,0
2005,0.전국,0
2006,0.전국,0
2007,0.전국,0
2008,0.전국,0
2009,0.전국,0
2010,0.전국,0
2011,0.전국,0
2012,0.전국,0
2013,0.전국,0
2014,0.전국,0
2015,0.전국,0
2016,0.전국,0
2017,0.전국,0
2018,0.전국,0
2019,0.전국,0
2020,0.전국,0
2021,0.전국,0
2001,1.수도권,0.612456763
2002,1.수도권,0.929755528
2003,1.수도권,0.599616047
2004,1.수도권,0.607962175
2005,1.수도권,0.551881447
2006,1.수도권,0.473539406
2007,1.수도권,0.347930146
2008,1.수도권,0.216086287
2009,1.수도권,0.18114588
2010,1.수도권,0.126825308
2011,1.수도권,-0.034320017
2012,1.수도권,0.027859659
2013,1.수도권,-0.017601382
2014,1.수도권,-0.084339921
2015,1.수도권,-0.131111998
2016,1.수도권,-0.003421064
2017,1.수도권,0.063208874
2018,1.수도권,0.235168884
2019,1.수도권,0.323839194
2020,1.수도권,0.34185967
2021,1.수도권,0.21609177
2001,2.충청권,-0.276766726
2002,2.충청권,-0.275414637
2003,2.충청권,0.050275797
2004,2.충청권,0.653913212
2005,2.충청권,0.071508017
2006,2.충청권,0.225987851
2007,2.충청권,0.363302622
2008,2.충청권,0.336747187
2009,2.충청권,0.17635621
2010,2.충청권,0.416150063
2011,2.충청권,0.587585383
2012,2.충청권,0.6283661
2013,2.충청권,0.488665013
2014,2.충청권,0.698677402
2015,2.충청권,0.829043923
2016,2.충청권,0.734293362
2017,2.충청권,0.739568196
2018,2.충청권,0.582867693
2019,2.충청권,0.166480158
2020,2.충청권,0.111232472
2021,2.충청권,0.310871007
2001,3.호남권,-0.699753123
2002,3.호남권,-1.808751496
2003,3.호남권,-0.906471332
2004,3.호남권,-1.620123301
2005,3.호남권,-0.982462633
2006,3.호남권,-0.889436479
2007,3.호남권,-0.606063804
2008,3.호남권,-0.450272618
2009,3.호남권,-0.175465489
2010,3.호남권,-0.172573384
2011,3.호남권,-0.042652285
2012,3.호남권,-0.194981405
2013,3.호남권,-0.135994663
2014,3.호남권,-0.117580239
2015,3.호남권,-0.15650739
2016,3.호남권,-0.297958546
2017,3.호남권,-0.353836602
2018,3.호남권,-0.542655199
2019,3.호남권,-0.495522484
2020,3.호남권,-0.477811403
2021,3.호남권,-0.319698107
2001,4.대경권,-0.668557697
2002,4.대경권,-0.772613469
2003,4.대경권,-0.757415582
2004,4.대경권,-0.768751424
2005,4.대경권,-0.699913804
2006,4.대경권,-0.558101607
2007,4.대경권,-0.601506837
2008,4.대경권,-0.519045998
2009,4.대경권,-0.40612757
2010,4.대경권,-0.298372231
2011,4.대경권,-0.153651331
2012,4.대경권,-0.298609377
2013,4.대경권,-0.255928885
2014,4.대경권,-0.320024774
2015,4.대경권,-0.262197661
2016,4.대경권,-0.240992982
2017,4.대경권,-0.340898443
2018,4.대경권,-0.458675653
2019,4.대경권,-0.555431499
2020,4.대경권,-0.670098777
2021,4.대경권,-0.419030144
2001,5.동남권,-0.508907071
2002,5.동남권,-0.503663963
2003,5.동남권,-0.456338338
2004,5.동남권,-0.469466774
2005,5.동남권,-0.402434177
2006,5.동남권,-0.454245716
2007,5.동남권,-0.369566031
2008,5.동남권,-0.223847705
2009,5.동남권,-0.298235753
2010,5.동남권,-0.363516316
2011,5.동남권,-0.233180777
2012,5.동남권,-0.244358926
2013,5.동남권,-0.146156036
2014,5.동남권,-0.078266653
2015,5.동남권,-0.106968888
2016,5.동남권,-0.341293593
2017,5.동남권,-0.456223923
2018,5.동남권,-0.57033518
2019,5.동남권,-0.543319818
2020,5.동남권,-0.56912024
2021,5.동남권,-0.594962463
2001,6.강원권,-0.522224135
2002,6.강원권,-1.111633395
2003,6.강원권,-0.852188401
2004,6.강원권,-0.547301888
2005,6.강원권,-0.756174441
2006,6.강원권,-0.633420904
2007,6.강원권,-0.40847713
2008,6.강원권,0.08697439
2009,6.강원권,0.120339771
2010,6.강원권,0.036658151
2011,6.강원권,0.306351006
2012,6.강원권,0.0467321
2013,6.강원권,0.195606838
2014,6.강원권,0.136295355
2015,6.강원권,0.311277195
2016,6.강원권,0.123155034
2017,6.강원권,0.132427576
2018,6.강원권,-0.251400347
2019,6.강원권,0.108657575
2020,6.강원권,0.35697231
2021,6.강원권,0.436513602
2001,7.제주권,-0.059857316
2002,7.제주권,0.042633823
2003,7.제주권,-0.262344896
2004,7.제주권,-0.014986562
2005,7.제주권,-0.144663056
2006,7.제주권,-0.340840363
2007,7.제주권,-0.523907765
2008,7.제주권,-0.399329926
2009,7.제주권,-0.180720585
2010,7.제주권,0.077465856
2011,7.제주권,0.412265198
2012,7.제주권,0.848006637
2013,7.제주권,1.339377052
2014,7.제주권,1.864030765
2015,7.제주권,2.332099699
2016,7.제주권,2.329865816
2017,7.제주권,2.174498666
2018,7.제주권,1.34815856
2019,7.제주권,0.442509554
2020,7.제주권,0.506242989
2021,7.제주권,0.583762114
