Year,지역,Value
2015,0.전국,85.14725378
2016,0.전국,88.25737741
2017,0.전국,90.25303415
2018,0.전국,91.52968027
2019,0.전국,91.78596918
2020,0.전국,91.85330334
2015,1.수도권,86.28239139
2016,1.수도권,88.35145118
2017,1.수도권,90.22186964
2018,1.수도권,91.54280903
2019,1.수도권,91.73228991
2020,1.수도권,92.20821689
2015,2.충청권,79.36361642
2016,2.충청권,87.33923839
2017,2.충청권,89.60375801
2018,2.충청권,92.62179042
2019,2.충청권,95.57938146
2020,2.충청권,93.97471829
2015,3.호남권,80.86765901
2016,3.호남권,85.80568908
2017,3.호남권,88.69777268
2018,3.호남권,89.71790467
2019,3.호남권,86.71652454
2020,3.호남권,88.30220938
2015,4.대경권,88.77009238
2016,4.대경권,89.03457155
2017,4.대경권,91.19357039
2018,4.대경권,93.533401
2019,4.대경권,96.26038665
2020,4.대경권,94.83841306
2015,5.동남권,87.96720049
2016,5.동남권,92.44865479
2017,5.동남권,92.86465187
2018,5.동남권,92.28559862
2019,5.동남권,91.18177526
2020,5.동남권,91.8983769
2015,6.강원권,74.09912771
2016,6.강원권,74.64972647
2017,6.강원권,83.06804809
2018,6.강원권,83.74153585
2019,6.강원권,84.93418443
2020,6.강원권,80.64462754
2015,7.제주권,85.87992577
2016,7.제주권,86.34382422
2017,7.제주권,86.67819419
2018,7.제주권,88.93564499
2019,7.제주권,88.75746086
2020,7.제주권,89.1153144
