Year,시도,Value
2009,0.전국,864685
2010,0.전국,924455
2011,0.전국,1019195
2012,0.전국,1038135
2013,0.전국,1124620
2014,0.전국,1176840
2015,0.전국,1257461
2016,0.전국,1357701
2017,0.전국,1441460
2018,0.전국,1570242
2019,0.전국,1660128
2020,0.전국,1737078
2009,1.수도권,342800
2010,1.수도권,389144
2011,1.수도권,442044
2012,1.수도권,478909
2013,1.수도권,528017
2014,1.수도권,561452
2015,1.수도권,604162
2016,1.수도권,661957
2017,1.수도권,720850
2018,1.수도권,789344
2019,1.수도권,854932
2020,1.수도권,919742
2009,2.서울특별시,142900
2010,2.서울특별시,159611
2011,2.서울특별시,176088
2012,2.서울특별시,187657
2013,2.서울특별시,212644
2014,2.서울특별시,219919
2015,2.서울특별시,235451
2016,2.서울특별시,251912
2017,2.서울특별시,265292
2018,2.서울특별시,284257
2019,2.서울특별시,307606
2020,2.서울특별시,334036
2009,3.인천광역시,30134
2010,3.인천광역시,33194
2011,3.인천광역시,42378
2012,3.인천광역시,48016
2013,3.인천광역시,50957
2014,3.인천광역시,54260
2015,3.인천광역시,59674
2016,3.인천광역시,62933
2017,3.인천광역시,68721
2018,3.인천광역시,77372
2019,3.인천광역시,82868
2020,3.인천광역시,86082
2009,4.경기도,169766
2010,4.경기도,196339
2011,4.경기도,223578
2012,4.경기도,243236
2013,4.경기도,264416
2014,4.경기도,287273
2015,4.경기도,309037
2016,4.경기도,347112
2017,4.경기도,386837
2018,4.경기도,427715
2019,4.경기도,464458
2020,4.경기도,499624
