Year,지역,Value
2011,0.전국,4233
2012,0.전국,4479
2013,0.전국,4658
2014,0.전국,4770
2015,0.전국,4882
2016,0.전국,5478
2017,0.전국,5705
2018,0.전국,5828
2019,0.전국,5924
2020,0.전국,6125
2011,1.수도권,4665
2012,1.수도권,4813
2013,1.수도권,4959
2014,1.수도권,5072
2015,1.수도권,5206
2016,1.수도권,5921
2017,1.수도권,6300
2018,1.수도권,6412
2019,1.수도권,6483
2020,1.수도권,6718
2011,2.충청권,3857.557084
2012,2.충청권,4101.508714
2013,2.충청권,4274.216927
2014,2.충청권,4411.197997
2015,2.충청권,4463.870842
2016,2.충청권,4758.837375
2017,2.충청권,5213.804516
2018,2.충청권,5445.870476
2019,2.충청권,5537.236456
2020,2.충청권,5781.714523
2011,3.호남권,3659.854143
2012,3.호남권,4062.802149
2013,3.호남권,4235.923889
2014,3.호남권,4304.249327
2015,3.호남권,4357.08757
2016,3.호남권,4921.455782
2017,3.호남권,4986.048944
2018,3.호남권,5273.605821
2019,3.호남권,5518.385928
2020,3.호남권,5735.923394
2011,4.대경권,3872.306602
2012,4.대경권,4194.025601
2013,4.대경권,4403.22997
2014,4.대경권,4434.274837
2015,4.대경권,4604.675981
2016,4.대경권,5111.327507
2017,4.대경권,5192.77365
2018,4.대경권,5049.344165
2019,4.대경권,5071.375145
2020,4.대경권,5200.707587
2011,5.동남권,4032.775176
2012,5.동남권,4317.754072
2013,5.동남권,4584.406511
2014,5.동남권,4728.264041
2015,5.동남권,4797.039465
2016,5.동남권,5234.195271
2017,5.동남권,5258.76707
2018,5.동남권,5354.890983
2019,5.동남권,5505.062532
2020,5.동남권,5560.656563
2011,6.강원권,3405
2012,6.강원권,3920
2013,6.강원권,4077
2014,6.강원권,4177
2015,6.강원권,4230
2016,6.강원권,4806
2017,6.강원권,4817
2018,6.강원권,5088
2019,6.강원권,4924
2020,6.강원권,5196
2011,7.제주권,3683
2012,7.제주권,3598
2013,7.제주권,3791
2014,7.제주권,4060
2015,7.제주권,4191
2016,7.제주권,5359
2017,7.제주권,5126
2018,7.제주권,5437
2019,7.제주권,5531
2020,7.제주권,5933
