Year,시도,Value
2010,0.전국,194971
2011,0.전국,205239
2012,0.전국,206969
2013,0.전국,208362
2014,0.전국,210448
2015,0.전국,215389
2016,0.전국,221936
2017,0.전국,231023
2018,0.전국,233368
2019,0.전국,231354
2020,0.전국,222563
2010,1.수도권,50390
2011,1.수도권,51581
2012,1.수도권,52234
2013,1.수도권,51742
2014,1.수도권,51247
2015,1.수도권,54388
2016,1.수도권,56505
2017,1.수도권,58130
2018,1.수도권,59207
2019,1.수도권,58007
2020,1.수도권,54718
2010,2.서울특별시,15717
2011,2.서울특별시,15491
2012,2.서울특별시,15203
2013,2.서울특별시,15014
2014,2.서울특별시,14680
2015,2.서울특별시,14966
2016,2.서울특별시,15214
2017,2.서울특별시,15095
2018,2.서울특별시,14746
2019,2.서울특별시,14452
2020,2.서울특별시,13316
2010,3.인천광역시,10630
2011,3.인천광역시,10260
2012,3.인천광역시,10859
2013,3.인천광역시,10479
2014,3.인천광역시,11212
2015,3.인천광역시,12370
2016,3.인천광역시,12646
2017,3.인천광역시,13422
2018,3.인천광역시,13769
2019,3.인천광역시,13420
2020,3.인천광역시,11226
2010,4.경기도,24043
2011,4.경기도,25830
2012,4.경기도,26172
2013,4.경기도,26249
2014,4.경기도,25355
2015,4.경기도,27052
2016,4.경기도,28645
2017,4.경기도,29613
2018,4.경기도,30692
2019,4.경기도,30135
2020,4.경기도,30176
