Year,시도,Value
2006,0.전국,79.37141947
2008,0.전국,74.65040322
2010,0.전국,80.93491203
2012,0.전국,56.76075882
2014,0.전국,79.84739734
2016,0.전국,83.94030151
2017,0.전국,86.2421613
2018,0.전국,85.8575197
2019,0.전국,84.77218043
2020,0.전국,86.43984303
2006,1.수도권,78.65727474
2008,1.수도권,75.09402269
2010,1.수도권,79.54972726
2012,1.수도권,56.77623711
2014,1.수도권,79.31885513
2016,1.수도권,84.34766285
2017,1.수도권,86.15706216
2018,1.수도권,85.59132142
2019,1.수도권,85.79293507
2020,1.수도권,86.41045869
2006,2.서울특별시,81.67307823
2008,2.서울특별시,78.57124885
2010,2.서울특별시,81.38917606
2012,2.서울특별시,60.28303914
2014,2.서울특별시,80.90999407
2016,2.서울특별시,86.94699181
2017,2.서울특별시,89.33601788
2018,2.서울특별시,88.60077034
2019,2.서울특별시,87.4966026
2020,2.서울특별시,88.79586604
2006,3.인천광역시,71.25633071
2008,3.인천광역시,72.55585429
2010,3.인천광역시,76.96952543
2012,3.인천광역시,54.59288935
2014,3.인천광역시,74.22608554
2016,3.인천광역시,80.63824691
2017,3.인천광역시,84.58160803
2018,3.인천광역시,79.46463193
2019,3.인천광역시,82.51000714
2020,3.인천광역시,84.10552334
2006,4.경기도,77.48863139
2008,4.경기도,72.32516558
2010,4.경기도,78.48571168
2012,4.경기도,54.08070826
2014,4.경기도,79.15937437
2016,4.경기도,82.9885849
2017,4.경기도,83.8475187
2018,4.경기도,84.53607632
2019,4.경기도,85.17256114
2020,4.경기도,85.0428787
