Year,시도,시군구,Value
2005,0.전국,,20
2010,0.전국,,23.9
2015,0.전국,,27.2
2016,0.전국,,27.9
2017,0.전국,,28.6
2018,0.전국,,29.3
2019,0.전국,,30.2
2020,0.전국,,31.7
2021,0.전국,,33.4
2005,1.수도권,,18.49676163
2010,1.수도권,,22.08366786
2015,1.수도권,,25.89239156
2016,1.수도권,,26.37016009
2017,1.수도권,,27.07856951
2018,1.수도권,,27.90524108
2019,1.수도권,,29.10482764
2020,1.수도권,,30.51990722
2021,1.수도권,,32.20822291
2005,2.서울특별시,,20.4
2010,2.서울특별시,,24.4
2015,2.서울특별시,,29.5
2016,2.서울특별시,,30.1
2017,2.서울특별시,,31
2018,2.서울특별시,,32
2019,2.서울특별시,,33.4
2020,2.서울특별시,,34.9
2021,2.서울특별시,,36.8
2005,2.서울특별시,강남구,27.2
2010,2.서울특별시,강남구,29.6
2015,2.서울특별시,강남구,29.3
2016,2.서울특별시,강남구,29.7
2017,2.서울특별시,강남구,30.3
2018,2.서울특별시,강남구,30.9
2019,2.서울특별시,강남구,32
2020,2.서울특별시,강남구,33
2021,2.서울특별시,강남구,34.1
2005,2.서울특별시,강동구,16.5
2010,2.서울특별시,강동구,19.9
2015,2.서울특별시,강동구,24.3
2016,2.서울특별시,강동구,24.7
2017,2.서울특별시,강동구,25.5
2018,2.서울특별시,강동구,26.5
2019,2.서울특별시,강동구,27.7
2020,2.서울특별시,강동구,28.4
2021,2.서울특별시,강동구,30.7
2005,2.서울특별시,강북구,17.4
2010,2.서울특별시,강북구,22.3
2015,2.서울특별시,강북구,28.5
2016,2.서울특별시,강북구,29.2
2017,2.서울특별시,강북구,30.7
2018,2.서울특별시,강북구,32
2019,2.서울특별시,강북구,33.4
2020,2.서울특별시,강북구,35.2
2021,2.서울특별시,강북구,37.2
2005,2.서울특별시,강서구,17.5
2010,2.서울특별시,강서구,21.6
2015,2.서울특별시,강서구,26.2
2016,2.서울특별시,강서구,27.4
2017,2.서울특별시,강서구,29.4
2018,2.서울특별시,강서구,31
2019,2.서울특별시,강서구,33.1
2020,2.서울특별시,강서구,35.3
2021,2.서울특별시,강서구,37.8
2005,2.서울특별시,관악구,32.6
2010,2.서울특별시,관악구,38.8
2015,2.서울특별시,관악구,43.9
2016,2.서울특별시,관악구,45.1
2017,2.서울특별시,관악구,46
2018,2.서울특별시,관악구,47.6
2019,2.서울특별시,관악구,49.5
2020,2.서울특별시,관악구,51.9
2021,2.서울특별시,관악구,53.9
2005,2.서울특별시,광진구,22.2
2010,2.서울특별시,광진구,27.3
2015,2.서울특별시,광진구,36.7
2016,2.서울특별시,광진구,36.4
2017,2.서울특별시,광진구,37.1
2018,2.서울특별시,광진구,37.9
2019,2.서울특별시,광진구,39.2
2020,2.서울특별시,광진구,41
2021,2.서울특별시,광진구,43
2005,2.서울특별시,구로구,17.6
2010,2.서울특별시,구로구,21.1
2015,2.서울특별시,구로구,26.2
2016,2.서울특별시,구로구,26.8
2017,2.서울특별시,구로구,27.5
2018,2.서울특별시,구로구,28.3
2019,2.서울특별시,구로구,29.8
2020,2.서울특별시,구로구,31.1
2021,2.서울특별시,구로구,33.1
2005,2.서울특별시,금천구,21.4
2010,2.서울특별시,금천구,26.9
2015,2.서울특별시,금천구,33.4
2016,2.서울특별시,금천구,34
2017,2.서울특별시,금천구,34.5
2018,2.서울특별시,금천구,35.9
2019,2.서울특별시,금천구,38
2020,2.서울특별시,금천구,40.9
2021,2.서울특별시,금천구,43.6
2005,2.서울특별시,노원구,13.4
2010,2.서울특별시,노원구,17.4
2015,2.서울특별시,노원구,22.5
2016,2.서울특별시,노원구,23.3
2017,2.서울특별시,노원구,24.3
2018,2.서울특별시,노원구,25.3
2019,2.서울특별시,노원구,26.5
2020,2.서울특별시,노원구,27.8
2021,2.서울특별시,노원구,29.7
2005,2.서울특별시,도봉구,13.6
2010,2.서울특별시,도봉구,17.9
2015,2.서울특별시,도봉구,21.9
2016,2.서울특별시,도봉구,22.6
2017,2.서울특별시,도봉구,23.4
2018,2.서울특별시,도봉구,24.4
2019,2.서울특별시,도봉구,25.7
2020,2.서울특별시,도봉구,27.4
2021,2.서울특별시,도봉구,29.5
2005,2.서울특별시,동대문구,24.9
2010,2.서울특별시,동대문구,28.8
2015,2.서울특별시,동대문구,36.1
2016,2.서울특별시,동대문구,36.3
2017,2.서울특별시,동대문구,37.2
2018,2.서울특별시,동대문구,37.8
2019,2.서울특별시,동대문구,39.2
2020,2.서울특별시,동대문구,40.5
2021,2.서울특별시,동대문구,42.6
2005,2.서울특별시,동작구,20.5
2010,2.서울특별시,동작구,27.6
2015,2.서울특별시,동작구,33.5
2016,2.서울특별시,동작구,33.1
2017,2.서울특별시,동작구,34
2018,2.서울특별시,동작구,35.2
2019,2.서울특별시,동작구,36.4
2020,2.서울특별시,동작구,38.2
2021,2.서울특별시,동작구,40.1
2005,2.서울특별시,마포구,25.4
2010,2.서울특별시,마포구,29.1
2015,2.서울특별시,마포구,33.8
2016,2.서울특별시,마포구,34.8
2017,2.서울특별시,마포구,35.4
2018,2.서울특별시,마포구,36.7
2019,2.서울특별시,마포구,37.8
2020,2.서울특별시,마포구,39.3
2021,2.서울특별시,마포구,40.9
2005,2.서울특별시,서대문구,22.7
2010,2.서울특별시,서대문구,26.6
2015,2.서울특별시,서대문구,33.2
2016,2.서울특별시,서대문구,34.2
2017,2.서울특별시,서대문구,34.3
2018,2.서울특별시,서대문구,35.2
2019,2.서울특별시,서대문구,36.1
2020,2.서울특별시,서대문구,37.5
2021,2.서울특별시,서대문구,39.2
2005,2.서울특별시,서초구,19.5
2010,2.서울특별시,서초구,21.3
2015,2.서울특별시,서초구,24.3
2016,2.서울특별시,서초구,24.7
2017,2.서울특별시,서초구,25.5
2018,2.서울특별시,서초구,26.5
2019,2.서울특별시,서초구,27.5
2020,2.서울특별시,서초구,28.1
2021,2.서울특별시,서초구,29.5
2005,2.서울특별시,성동구,20.8
2010,2.서울특별시,성동구,25.2
2015,2.서울특별시,성동구,30.7
2016,2.서울특별시,성동구,31.9
2017,2.서울특별시,성동구,32.3
2018,2.서울특별시,성동구,32.8
2019,2.서울특별시,성동구,33.8
2020,2.서울특별시,성동구,34.9
2021,2.서울특별시,성동구,36.6
2005,2.서울특별시,성북구,19.3
2010,2.서울특별시,성북구,23.7
2015,2.서울특별시,성북구,29.8
2016,2.서울특별시,성북구,31
2017,2.서울특별시,성북구,31.4
2018,2.서울특별시,성북구,32.1
2019,2.서울특별시,성북구,32.7
2020,2.서울특별시,성북구,34.2
2021,2.서울특별시,성북구,35.7
2005,2.서울특별시,송파구,17.1
2010,2.서울특별시,송파구,19.2
2015,2.서울특별시,송파구,23.2
2016,2.서울특별시,송파구,23.6
2017,2.서울특별시,송파구,24.8
2018,2.서울특별시,송파구,26.1
2019,2.서울특별시,송파구,27.3
2020,2.서울특별시,송파구,28.8
2021,2.서울특별시,송파구,30.6
2005,2.서울특별시,양천구,13.7
2010,2.서울특별시,양천구,16.3
2015,2.서울특별시,양천구,20
2016,2.서울특별시,양천구,20.1
2017,2.서울특별시,양천구,20.4
2018,2.서울특별시,양천구,21.2
2019,2.서울특별시,양천구,22.3
2020,2.서울특별시,양천구,23.8
2021,2.서울특별시,양천구,25.5
2005,2.서울특별시,영등포구,21.1
2010,2.서울특별시,영등포구,24.6
2015,2.서울특별시,영등포구,32.8
2016,2.서울특별시,영등포구,33.7
2017,2.서울특별시,영등포구,34.7
2018,2.서울특별시,영등포구,35.7
2019,2.서울특별시,영등포구,37.8
2020,2.서울특별시,영등포구,39.4
2021,2.서울특별시,영등포구,41.4
2005,2.서울특별시,용산구,23.9
2010,2.서울특별시,용산구,29.9
2015,2.서울특별시,용산구,34.4
2016,2.서울특별시,용산구,35.1
2017,2.서울특별시,용산구,36.3
2018,2.서울특별시,용산구,37
2019,2.서울특별시,용산구,37.7
2020,2.서울특별시,용산구,38.5
2021,2.서울특별시,용산구,40.5
2005,2.서울특별시,은평구,16.1
2010,2.서울특별시,은평구,19.2
2015,2.서울특별시,은평구,24.4
2016,2.서울특별시,은평구,24.9
2017,2.서울특별시,은평구,25.9
2018,2.서울특별시,은평구,27
2019,2.서울특별시,은평구,28.6
2020,2.서울특별시,은평구,30.3
2021,2.서울특별시,은평구,32.3
2005,2.서울특별시,종로구,26.8
2010,2.서울특별시,종로구,31.4
2015,2.서울특별시,종로구,37
2016,2.서울특별시,종로구,37.6
2017,2.서울특별시,종로구,37.9
2018,2.서울특별시,종로구,39.7
2019,2.서울특별시,종로구,39.4
2020,2.서울특별시,종로구,41
2021,2.서울특별시,종로구,42.7
2005,2.서울특별시,중구,28.2
2010,2.서울특별시,중구,30.5
2015,2.서울특별시,중구,37.4
2016,2.서울특별시,중구,38.2
2017,2.서울특별시,중구,38.6
2018,2.서울특별시,중구,39.2
2019,2.서울특별시,중구,40.5
2020,2.서울특별시,중구,41.4
2021,2.서울특별시,중구,43.7
2005,2.서울특별시,중랑구,18.6
2010,2.서울특별시,중랑구,23
2015,2.서울특별시,중랑구,28.7
2016,2.서울특별시,중랑구,29
2017,2.서울특별시,중랑구,29.9
2018,2.서울특별시,중랑구,30.9
