Year,시도,Value
2012,0.전국,46.69169023
2014,0.전국,49.73940214
2016,0.전국,52.26622316
2018,0.전국,58.02463288
2020,0.전국,59.2738232
2012,1.수도권,47.30796231
2014,1.수도권,51.09866552
2016,1.수도권,52.91462822
2018,1.수도권,58.69968671
2020,1.수도권,59.72991829
2012,2.서울특별시,49.04330411
2014,2.서울특별시,51.27380469
2016,2.서울특별시,53.5915322
2018,2.서울특별시,63.87275183
2020,2.서울특별시,66.37010017
2012,3.인천광역시,42.43821155
2014,3.인천광역시,53.70873082
2016,3.인천광역시,50.80176727
2018,3.인천광역시,62.28028749
2020,3.인천광역시,61.04104014
2012,4.경기도,46.15826058
2014,4.경기도,46.72578276
2016,4.경기도,52.80313859
2018,4.경기도,54.67427836
2020,4.경기도,56.08034682
