Year,시도,Value
2006,0.전국,9.5
2007,0.전국,9.3
2008,0.전국,9.3
2009,0.전국,9.2
2010,0.전국,9.2
2011,0.전국,9.1
2012,0.전국,8.7
2013,0.전국,8.5
2014,0.전국,8.3
2015,0.전국,8.2
2016,0.전국,8
2017,0.전국,8
2018,0.전국,7.8
2019,0.전국,7.8
2020,0.전국,7.8
2006,1.수도권,5.9
2007,1.수도권,6
2008,1.수도권,6
2009,1.수도권,6.1
2010,1.수도권,6.1
2011,1.수도권,5.8
2012,1.수도권,5.5
2013,1.수도권,5.3
2014,1.수도권,5.3
2015,1.수도권,5.3
2016,1.수도권,5.2
2017,1.수도권,5.3
2018,1.수도권,5.2
2019,1.수도권,5.2
2020,1.수도권,5.1
2006,2.서울특별시,5.6
2007,2.서울특별시,5.7
2008,2.서울특별시,5.6
2009,2.서울특별시,5.4
2010,2.서울특별시,5.3
2011,2.서울특별시,5.3
2012,2.서울특별시,5.2
2013,2.서울특별시,5.3
2014,2.서울특별시,5.3
2015,2.서울특별시,5.3
2016,2.서울특별시,5.1
2017,2.서울특별시,5.3
2018,2.서울특별시,5
2019,2.서울특별시,5.1
2020,2.서울특별시,5.2
2006,3.인천광역시,6.7
2007,3.인천광역시,6.5
2008,3.인천광역시,6.5
2009,3.인천광역시,6.6
2010,3.인천광역시,6.2
2011,3.인천광역시,5.7
2012,3.인천광역시,6
2013,3.인천광역시,5.9
2014,3.인천광역시,6.9
2015,3.인천광역시,6.8
2016,3.인천광역시,6.5
2017,3.인천광역시,7.1
2018,3.인천광역시,6.8
2019,3.인천광역시,6.8
2020,3.인천광역시,6.1
2006,4.경기도,6
2007,4.경기도,6.1
2008,4.경기도,6.2
2009,4.경기도,6.6
2010,4.경기도,6.8
2011,4.경기도,6.4
2012,4.경기도,5.6
2013,4.경기도,5.1
2014,4.경기도,4.9
2015,4.경기도,5
2016,4.경기도,4.9
2017,4.경기도,5
2018,4.경기도,4.9
2019,4.경기도,4.9
2020,4.경기도,4.9
