Year,시도,Value
2002,0.전국,6.971158569
2003,0.전국,3.66110107
2004,0.전국,4.581919432
2005,0.전국,4.593279429
2006,0.전국,5.432306441
2007,0.전국,5.776292546
2008,0.전국,2.711442276
2009,0.전국,0.989186126
2010,0.전국,6.999526153
2011,0.전국,3.62565879
2012,0.전국,2.339355502
2013,0.전국,3.11147985
2014,0.전국,3.136739177
2015,0.전국,2.789355616
2016,0.전국,2.94418017
2017,0.전국,3.111019114
2018,0.전국,2.901000633
2019,0.전국,2.221211852
2020,0.전국,-0.644085542
2002,1.수도권,7.876251934
2003,1.수도권,3.370994411
2004,1.수도권,3.533597536
2005,1.수도권,5.194442044
2006,1.수도권,6.163515867
2007,1.수도권,5.891889651
2008,1.수도권,3.133524127
2009,1.수도권,1.471986736
2010,1.수도권,6.723685283
2011,1.수도권,3.522658488
2012,1.수도권,2.935858708
2013,1.수도권,3.504780465
2014,1.수도권,3.177041592
2015,1.수도권,3.972182055
2016,1.수도권,3.66229325
2017,1.수도권,4.496585389
2018,1.수도권,4.498236087
2019,1.수도권,2.378513059
2020,1.수도권,0.85631745
2002,2.서울특별시,6.918174796
2003,2.서울특별시,1.80068506
2004,2.서울특별시,1.18909878
2005,2.서울특별시,4.264049672
2006,2.서울특별시,4.174532651
2007,2.서울특별시,5.859574117
2008,2.서울특별시,2.456061069
2009,2.서울특별시,1.496269306
2010,2.서울특별시,3.534354407
2011,2.서울특별시,3.152898822
2012,2.서울특별시,1.399856472
2013,2.서울특별시,1.649845819
2014,2.서울특별시,1.507823595
2015,2.서울특별시,2.921107886
2016,2.서울특별시,2.839632485
2017,2.서울특별시,2.339332745
2018,2.서울특별시,3.599027766
2019,2.서울특별시,2.59824754
2020,2.서울특별시,0.856325299
2002,3.인천광역시,10.19928507
2003,3.인천광역시,2.324180177
2004,3.인천광역시,5.426449791
2005,3.인천광역시,3.517715174
2006,3.인천광역시,4.568555766
2007,3.인천광역시,8.656996412
2008,3.인천광역시,-0.992230046
2009,3.인천광역시,-1.375386184
2010,3.인천광역시,9.735214898
2011,3.인천광역시,1.783222891
2012,3.인천광역시,3.675947314
2013,3.인천광역시,2.657246059
2014,3.인천광역시,4.823439809
2015,3.인천광역시,1.834085791
2016,3.인천광역시,2.644961274
2017,3.인천광역시,4.296832862
2018,3.인천광역시,0.740471506
2019,3.인천광역시,1.778114464
2020,3.인천광역시,-3.474225487
2002,4.경기도,8.564573599
2003,4.경기도,5.705087198
2004,4.경기도,6.097731019
2005,4.경기도,6.742231207
2006,4.경기도,8.949514129
2007,4.경기도,5.270082402
2008,4.경기도,4.958159165
2009,4.경기도,2.093341314
2010,4.경기도,9.816242619
2011,4.경기도,4.333647253
2012,4.경기도,4.485246614
2013,4.경기도,5.676915356
2014,4.경기도,4.540245967
2015,4.경기도,5.472389564
2016,4.경기도,4.672950196
2017,4.경기도,6.589064848
2018,4.경기도,6.040219135
2019,4.경기도,2.295494509
2020,4.경기도,1.673053611
