Value,Disaggregation combinations using this value,Number of indicators
사업체수,5,1
아파트-월세,66,1
아파트-전세,66,1
조이혼율,71,1
조혼인율,71,1
종사자수,5,1
주택-월세,66,1
주택-전세,66,1
