Indicator
#10-1-3
#10-1-4
#10-1-6
#10-2-1
#11-1-1
#11-1-3
#5-1-1
#5-1-2
#5-1-3
#5-2-2
#5-2-3
#5-2-5
#5-3-2
#5-4-1
#5-4-2
#5-4-3
#5-4-5
#5-4-6
#7-1-2
#9-1-1
#9-1-2
#9-1-3
#9-1-4
#9-1-5
#9-1-6
#9-2-2
#9-5-3
#9-6-3
#9-6-4
