Value,Disaggregation combinations using this value,Number of indicators
0.전국,19,19
1.수도권,19,19
2.충청권,19,19
3.호남권,19,19
4.대경권,19,19
5.동남권,19,19
6.강원권,19,19
7.제주권,19,19
