Year,시도,Value
2011,0.전국,36.4
2013,0.전국,34.6
2015,0.전국,29.9
2017,0.전국,26.7
2019,0.전국,25.6
2021,0.전국,21.6
2011,1.수도권,37.19748185
2013,1.수도권,33.40776752
2015,1.수도권,30.55784299
2017,1.수도권,29.22830475
2019,1.수도권,26.46759102
2021,1.수도권,22.74083602
2011,2.서울특별시,37.8
2013,2.서울특별시,36.5
2015,2.서울특별시,33.1
2017,2.서울특별시,33.2
2019,2.서울특별시,30.1
2021,2.서울특별시,24.4
2011,3.인천광역시,34.4
2013,3.인천광역시,36.2
2015,3.인천광역시,33.7
2017,3.인천광역시,28.0
2019,3.인천광역시,24.4
2021,3.인천광역시,21.4
2011,4.경기도,37.3
2013,4.경기도,30.1
2015,4.경기도,27.7
2017,4.경기도,26.4
2019,4.경기도,24.2
2021,4.경기도,21.8
