Year,지역,Value
2001,0.전국,1529.083398
2002,0.전국,1584.100169
2003,0.전국,1863.299696
2004,0.전국,2164.428594
2005,0.전국,2509.005215
2006,0.전국,2564.668154
2007,0.전국,2617.30256
2008,0.전국,2568.806912
2009,0.전국,2561.141932
2010,0.전국,2642.030834
2011,0.전국,2754.239396
2012,0.전국,2942.120276
2013,0.전국,3163.633645
2014,0.전국,3231.635037
2015,0.전국,3282.519281
2016,0.전국,3196.977112
2017,0.전국,3104.076024
2018,0.전국,3168.522676
2019,0.전국,3342.279147
2020,0.전국,3514.558993
2021,0.전국,3627.940778
2001,1.수도권,2495.722499
2002,1.수도권,2576.855346
2003,1.수도권,3046.652532
2004,1.수도권,3523.976396
2005,1.수도권,4149.789954
2006,1.수도권,4055.01502
2007,1.수도권,3807.187599
2008,1.수도권,3649.192374
2009,1.수도권,3530.917706
2010,1.수도권,3561.336087
2011,1.수도권,3630.204864
2012,1.수도권,3824.404444
2013,1.수도권,4181.773616
2014,1.수도권,4229.780282
2015,1.수도권,4265.81539
2016,1.수도권,4045.060758
2017,1.수도권,3862.58898
2018,1.수도권,3953.788412
2019,1.수도권,4242.422214
2020,1.수도권,4461.331981
2021,1.수도권,4615.650678
2001,2.충청권,1125.897684
2002,2.충청권,1233.264909
2003,2.충청권,1378.182438
2004,2.충청권,1707.309746
2005,2.충청권,2079.67619
2006,2.충청권,2392.991857
2007,2.충청권,3140.135508
2008,2.충청권,3152.203346
2009,2.충청권,3215.848937
2010,2.충청권,3435.402896
2011,2.충청권,3441.588279
2012,2.충청권,3776.154878
2013,2.충청권,3883.252859
2014,2.충청권,4014.712956
2015,2.충청권,4037.217382
2016,2.충청권,3983.291546
2017,2.충청권,3806.996225
2018,2.충청권,3939.420699
2019,2.충청권,4012.766571
2020,2.충청권,4180.255464
2021,2.충청권,4339.460329
2001,3.호남권,458.7262386
2002,3.호남권,462.0455806
2003,3.호남권,728.8304999
2004,3.호남권,1054.39603
2005,3.호남권,646.923308
2006,3.호남권,774.7265375
2007,3.호남권,1013.751547
2008,3.호남권,1054.500366
2009,3.호남권,1127.456647
2010,3.호남권,1212.703808
2011,3.호남권,1360.189428
2012,3.호남권,1485.271331
2013,3.호남권,1581.524967
2014,3.호남권,1656.777612
2015,3.호남권,1866.93422
2016,3.호남권,1922.276049
2017,3.호남권,1984.227682
2018,3.호남권,2062.434496
2019,3.호남권,2188.910269
2020,3.호남권,2286.448634
2021,3.호남권,2363.089152
2001,4.대경권,1113.134079
2002,4.대경권,1054.72246
2003,4.대경권,932.1249192
2004,4.대경권,870.2125536
2005,4.대경권,1066.751014
2006,4.대경권,1253.215252
2007,4.대경권,1465.926759
2008,4.대경권,1554.739839
2009,4.대경권,1633.109672
2010,4.대경권,1817.139616
2011,4.대경권,2048.942724
2012,4.대경권,2158.451731
2013,4.대경권,2263.390444
2014,4.대경권,2268.311724
2015,4.대경권,2273.789293
2016,4.대경권,2287.986711
2017,4.대경권,2246.383926
2018,4.대경권,2199.461852
2019,4.대경권,2245.009912
2020,4.대경권,2275.081761
2021,4.대경권,2350.578967
2001,5.동남권,417.4283589
2002,5.동남권,451.0404715
2003,5.동남권,556.5348319
2004,5.동남권,571.1955493
2005,5.동남권,661.8082513
2006,5.동남권,810.7225993
2007,5.동남권,1003.950708
2008,5.동남권,1020.864116
2009,5.동남권,1150.009004
2010,5.동남권,1201.266825
2011,5.동남권,1423.695169
2012,5.동남권,1590.174289
2013,5.동남권,1614.905221
2014,5.동남권,1716.314471
2015,5.동남권,1740.453371
2016,5.동남권,1883.616905
2017,5.동남권,1920.77102
2018,5.동남권,1896.787279
2019,5.동남권,1901.54326
2020,5.동남권,2040.276084
2021,5.동남권,2015.390347
2001,6.강원권,302.5333953
2002,6.강원권,277.5686667
2003,6.강원권,272.6898505
2004,6.강원권,325.4156512
2005,6.강원권,491.0223646
2006,6.강원권,533.3722044
2007,6.강원권,804.8581263
2008,6.강원권,872.3996068
2009,6.강원권,965.1011354
2010,6.강원권,1064.737633
2011,6.강원권,1078.45035
2012,6.강원권,1234.593831
2013,6.강원권,1432.004515
2014,6.강원권,1595.66888
2015,6.강원권,1676.70997
2016,6.강원권,1568.729557
2017,6.강원권,1673.728386
2018,6.강원권,1739.058964
2019,6.강원권,1703.457712
2020,6.강원권,1831.633621
2021,6.강원권,1893.453701
2001,7.제주권,194.6280813
2002,7.제주권,176.7299493
2003,7.제주권,259.262751
2004,7.제주권,211.2563524
2005,7.제주권,309.0937354
2006,7.제주권,347.6500025
2007,7.제주권,484.9009711
2008,7.제주권,725.0802767
2009,7.제주권,722.882342
2010,7.제주권,799.4759976
2011,7.제주권,811.1577297
2012,7.제주권,864.3545906
2013,7.제주권,996.443109
2014,7.제주권,962.8812628
2015,7.제주권,1030.527327
2016,7.제주권,1097.100565
2017,7.제주권,1268.522249
2018,7.제주권,1274.606026
2019,7.제주권,1342.901949
2020,7.제주권,1503.143038
2021,7.제주권,1558.884786
