Year,시도,Value
2011,0.전국,12.6938615
2013,0.전국,13.62612398
2015,0.전국,13.87961896
2017,0.전국,15.40442722
2019,0.전국,16.81053534
2021,0.전국,18.66658689
2011,1.수도권,13.37446384
2013,1.수도권,13.84626344
2015,1.수도권,14.64980422
2017,1.수도권,15.9285646
2019,1.수도권,17.67594898
2021,1.수도권,19.23817165
2011,2.서울특별시,15.41108485
2013,2.서울특별시,14.03358428
2015,2.서울특별시,15.99786094
2017,2.서울특별시,18.26122529
2019,2.서울특별시,17.50697601
2021,2.서울특별시,20.45464807
2011,3.인천광역시,10.55605769
2013,3.인천광역시,11.70504732
2015,3.인천광역시,11.72769422
2017,3.인천광역시,12.782564
2019,3.인천광역시,19.02300958
2021,3.인천광역시,17.9409663
2011,4.경기도,12.20177015
2013,4.경기도,14.19052453
2015,4.경기도,14.20949289
2017,4.경기도,14.79699562
2019,4.경기도,17.49987261
2021,4.경기도,18.62395139
