Year,지역,Value
2005,0.전국,1.49
2006,0.전국,1.49
2007,0.전국,1.48
2008,0.전국,1.5
2009,0.전국,1.49
2010,0.전국,1.49
2011,0.전국,1.51
2012,0.전국,1.49
2013,0.전국,1.49
2014,0.전국,1.47
2015,0.전국,1.5
2016,0.전국,1.51
2017,0.전국,1.53
2018,0.전국,1.54
2019,0.전국,1.54
2020,0.전국,1.57
2021,0.전국,1.57
2005,1.수도권,1.452682621
2006,1.수도권,1.415290876
2007,1.수도권,1.396951824
2008,1.수도권,1.41053913
2009,1.수도권,1.408133191
2010,1.수도권,1.414529268
2011,1.수도권,1.414712692
2012,1.수도권,1.387932132
2013,1.수도권,1.380412628
2014,1.수도권,1.377758861
2015,1.수도권,1.383407815
2016,1.수도권,1.403263032
2017,1.수도권,1.436440811
2018,1.수도권,1.461389809
2019,1.수도권,1.473458778
2020,1.수도권,1.509557773
2021,1.수도권,1.507050761
2005,2.충청권,1.7720676
2006,2.충청권,1.780191956
2007,2.충청권,1.739957555
2008,2.충청권,1.793507213
2009,2.충청권,1.794842788
2010,2.충청권,1.796034877
2011,2.충청권,1.819650167
2012,2.충청권,1.66763527
2013,2.충청권,1.723631346
2014,2.충청권,1.698102466
2015,2.충청권,1.73554012
2016,2.충청권,1.735321847
2017,2.충청권,1.74289554
2018,2.충청권,1.735389213
2019,2.충청권,1.733196792
2020,2.충청권,1.778387589
2021,2.충청권,1.785130945
2005,3.호남권,1.896119065
2006,3.호남권,1.892153176
2007,3.호남권,1.908041069
2008,3.호남권,1.927581985
2009,3.호남권,1.900065114
2010,3.호남권,1.909189334
2011,3.호남권,1.981373179
2012,3.호남권,1.96546607
2013,3.호남권,1.947920295
2014,3.호남권,1.962345606
2015,3.호남권,1.976466192
2016,3.호남권,1.992879308
2017,3.호남권,2.00723419
2018,3.호남권,2.017560025
2019,3.호남권,2.027833018
2020,3.호남권,2.049493255
2021,3.호남권,2.053505682
2005,4.대경권,1.410020843
2006,4.대경권,1.429943666
2007,4.대경권,1.437159299
2008,4.대경권,1.454456821
2009,4.대경권,1.455353613
2010,4.대경권,1.463998741
2011,4.대경권,1.491729832
2012,4.대경권,1.458162421
2013,4.대경권,1.465360562
2014,4.대경권,1.476429244
2015,4.대경권,1.539191758
2016,4.대경권,0.772317813
2017,4.대경권,1.593848046
2018,4.대경권,1.600377372
2019,4.대경권,1.617955384
2020,4.대경권,1.639805092
2021,4.대경권,1.659990705
2005,5.동남권,1.711432555
2006,5.동남권,1.724127435
2007,5.동남권,1.735926435
2008,5.동남권,1.778808432
2009,5.동남권,1.760595192
2010,5.동남권,1.767038615
2011,5.동남권,1.803492667
2012,5.동남권,1.850642195
2013,5.동남권,1.800702508
2014,5.동남권,1.734700059
2015,5.동남권,1.776990265
2016,5.동남권,1.799353856
2017,5.동남권,1.810767291
2018,5.동남권,1.829164168
2019,5.동남권,1.852367267
2020,5.동남권,1.886532303
2021,5.동남권,1.906118263
2005,6.강원권,1.929778328
2006,6.강원권,1.926881314
2007,6.강원권,1.930683993
2008,6.강원권,1.958746227
2009,6.강원권,1.92584018
2010,6.강원권,1.928055978
2011,6.강원권,1.990414159
2012,6.강원권,1.973332496
2013,6.강원권,1.996149215
2014,6.강원권,1.920474102
2015,6.강원권,1.918977065
2016,6.강원권,1.930690644
2017,6.강원권,1.959452335
2018,6.강원권,1.953236311
2019,6.강원권,1.951317529
2020,6.강원권,1.945778964
2021,6.강원권,1.934281756
2005,7.제주권,3.235455423
2006,7.제주권,3.230354162
2007,7.제주권,3.194583789
2008,7.제주권,3.195580228
2009,7.제주권,3.147847118
2010,7.제주권,3.142250941
2011,7.제주권,3.187875847
2012,7.제주권,3.341343982
2013,7.제주권,3.075614442
2014,7.제주권,3.006891171
2015,7.제주권,2.985645286
2016,7.제주권,2.94716422
2017,7.제주권,2.91332654
2018,7.제주권,2.890623469
2019,7.제주권,2.881994723
2020,7.제주권,2.873442791
2021,7.제주권,2.878812039
